,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12
0,-561.53827,120.503944,3.2198327,-2.7044206,-9.25096,-7.493754,-20.736685,-11.345624,-4.27431,-14.584311,-10.212305,-4.569901,-7.536999,-0.008381724,-0.050892267,-0.06974854,-0.018051356,0.019857854,0.016643342,0.004249178,0.011299101,0.00999312,0.00023510652,0.011223831,0.008879846,-0.006304767,-0.05316852,-0.04869422,-0.0061370153,0.010594492,0.010428792,0.01060566,0.0112494035,0.0047706217,0.001406859,0.010498755,0.008975973,0.0031254648,0.011691311
1,-546.14,127.28061,7.3950152,6.4857445,-2.1786509,-7.5887995,-20.06539,-12.662382,-4.1633425,-12.786127,-9.867358,-7.4368024,-7.818509,-0.08755227,-0.07515459,-0.027173197,-0.0013199779,0.028166646,0.0051789167,-0.017796386,0.00054151966,0.02091974,0.02411071,0.028165523,0.019784072,-0.0011367664,-0.041310858,-0.026367785,0.021529708,0.01240681,0.007909623,0.020250792,-0.0028681175,0.002459843,0.014994089,0.008581281,0.011980631,0.004525811,-0.00825164
2,-569.58636,115.32859,9.573596,-5.9737296,-5.078678,-13.719212,-19.48752,-10.98313,-8.273283,-14.621955,-9.719676,-3.5344043,-6.857751,-0.013694506,-0.022494337,-0.032746755,-0.045365117,-0.039680928,-0.002326173,0.03509529,0.029038148,-0.0025604921,-0.0048618824,0.017824309,0.017652635,0.00018514795,-0.04899917,-0.04486662,-0.0058116554,0.0047512404,1.632912e-05,0.0065334165,0.01302737,0.004410359,-0.0041410387,0.0013071506,0.0078100986,0.003231963,-0.0016192374
3,-622.4742,126.88687,19.128456,-5.768638,-7.7355514,-15.834359,-18.463413,-9.131722,-10.626032,-15.467518,-8.052928,-7.8957148,-10.142233,-0.03488331,-0.032651253,-0.003696389,0.0042077703,-0.002978502,-0.0044033057,0.0002460409,0.0046325326,0.004684176,0.00617547,0.005485995,0.004429246,0.013983563,-0.047041725,-0.024629408,0.016153444,0.006017473,-0.0012654805,0.0025530232,0.0073310295,0.0038921786,-0.0014419851,0.0026268465,0.0041611213,0.0035059093,0.005537316
4,-557.62115,121.59878,2.8597298,-8.688044,-4.4365964,-12.697147,-25.650787,-11.860758,-6.504335,-14.324159,-9.139252,-4.826102,-6.220009,-0.06507735,-0.005583414,0.04342265,-0.0028576166,-0.0028506697,0.0054447823,0.008377387,0.007312896,0.002281544,-0.001815598,0.004386325,0.0010609756,-0.009289084,-0.035847,-0.002180553,0.01641367,-0.0049216957,-0.00077429845,-0.003401656,0.0025487158,0.0039042362,0.0049339784,0.001766854,0.0027777224,0.0034685982,0.0001738837
5,-580.00726,135.42194,-6.5648265,-5.8948107,-2.8347883,-11.631965,-26.4683,-10.09029,-7.3570247,-19.568216,-10.447486,-5.087588,-7.880221,-0.13966276,-0.082302734,0.056426164,0.04357204,0.0044769747,0.0032279445,-0.010266414,-0.022360165,-0.008449018,0.0012607204,0.005394028,0.012109236,0.0104218945,-0.054779947,-0.02200961,0.01950497,-4.5768684e-05,-8.487053e-05,0.003729621,0.0014380489,-0.0012295813,-0.0038200303,-0.002312709,-0.0012430695,-0.0010415579,0.002377503
6,-548.49365,115.172295,-7.7199116,-2.1786058,-1.1318159,-11.950885,-26.340204,-9.268688,-7.759211,-15.622428,-5.855039,-5.240641,-8.298782,-0.057299938,-0.045599535,0.021323577,0.040095005,0.020964507,0.0034403827,-0.010028029,0.00010449874,0.008682179,0.0063433973,-0.0075535583,-0.019112905,0.0014870396,-0.062170267,-0.028858026,0.022231754,-0.0013087477,-0.003942372,0.018699594,0.019910095,-0.0003354332,-0.00095031195,0.0101234,0.0044156294,-0.0033131149,-0.008940591
7,-579.0679,122.14278,5.3527355,1.9053469,0.92475086,-8.452951,-27.836742,-13.824071,-5.7445226,-18.308384,-8.566376,-4.3419495,-10.04475,-0.17812695,-0.11553632,0.054732285,0.052069988,0.01919283,0.028579907,0.018762834,0.017571071,0.037120182,0.02496298,-0.00774006,-0.023950832,-0.0052164914,-0.06681204,-0.030323444,0.03366962,0.011833829,-0.0020981473,0.011384348,0.0049721124,-0.0013303796,0.0018951293,0.0024009664,0.009484764,0.0016612756,0.0011082882
8,-614.9089,121.45243,8.128972,3.1849468,-7.3615603,-9.295206,-20.046383,-8.980706,-6.0194006,-15.688202,-7.671153,-3.868306,-7.908937,0.027462292,-0.010019458,-0.041498344,-0.0056320573,0.0067357887,0.002182863,-0.00524541,-0.010320388,-0.0042527528,-0.008804403,0.0028244802,0.019560978,-0.000120251476,-0.03891367,0.001515665,0.025643809,-0.009242105,0.0024513088,0.0017449465,-0.0026924757,0.008046573,0.00628172,0.0012139576,-0.0040916917,0.0017061614,0.0044502732
9,-540.0113,115.16001,-14.65294,-4.3815293,-3.2362084,-14.520186,-25.52428,-10.748389,-6.103954,-13.424402,-6.36993,-5.6798773,-7.9034157,-0.026541436,-0.008564318,0.01522333,0.0023107256,0.0015052207,0.00056154234,-0.003832854,0.0004976967,0.0030148046,-0.00047226303,-0.005889014,-0.002612707,-0.002128814,-0.019201366,-0.0027321302,0.010914742,-0.00086455554,-0.0045838323,-0.00040353736,0.0076055466,0.0018046036,0.0011849662,0.0015882124,-0.002639782,0.002006525,0.00018568336
