,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12
0,-561.53827,120.503944,3.2198327,-2.7044206,-9.25096,-7.493754,-20.736685,-11.345624,-4.27431,-14.584311,-10.212305,-4.569901,-7.536999,-0.05316852,-0.04869422,-0.0061370153,0.010594492,0.010428792,0.01060566,0.0112494035,0.0047706217,0.001406859,0.010498755,0.008975973,0.0031254648,0.011691311
1,-546.14,127.28061,7.3950152,6.4857445,-2.1786509,-7.5887995,-20.06539,-12.662382,-4.1633425,-12.786127,-9.867358,-7.4368024,-7.818509,-0.041310858,-0.026367785,0.021529708,0.01240681,0.007909623,0.020250792,-0.0028681175,0.002459843,0.014994089,0.008581281,0.011980631,0.004525811,-0.00825164
2,-569.58636,115.32859,9.573596,-5.9737296,-5.078678,-13.719212,-19.48752,-10.98313,-8.273283,-14.621955,-9.719676,-3.5344043,-6.857751,-0.04899917,-0.04486662,-0.0058116554,0.0047512404,1.632912e-05,0.0065334165,0.01302737,0.004410359,-0.0041410387,0.0013071506,0.0078100986,0.003231963,-0.0016192374
3,-622.4742,126.88687,19.128456,-5.768638,-7.7355514,-15.834359,-18.463413,-9.131722,-10.626032,-15.467518,-8.052928,-7.8957148,-10.142233,-0.047041725,-0.024629408,0.016153444,0.006017473,-0.0012654805,0.0025530232,0.0073310295,0.0038921786,-0.0014419851,0.0026268465,0.0041611213,0.0035059093,0.005537316
4,-557.62115,121.59878,2.8597298,-8.688044,-4.4365964,-12.697147,-25.650787,-11.860758,-6.504335,-14.324159,-9.139252,-4.826102,-6.220009,-0.035847,-0.002180553,0.01641367,-0.0049216957,-0.00077429845,-0.003401656,0.0025487158,0.0039042362,0.0049339784,0.001766854,0.0027777224,0.0034685982,0.0001738837
5,-580.00726,135.42194,-6.5648265,-5.8948107,-2.8347883,-11.631965,-26.4683,-10.09029,-7.3570247,-19.568216,-10.447486,-5.087588,-7.880221,-0.054779947,-0.02200961,0.01950497,-4.5768684e-05,-8.487053e-05,0.003729621,0.0014380489,-0.0012295813,-0.0038200303,-0.002312709,-0.0012430695,-0.0010415579,0.002377503
6,-548.49365,115.172295,-7.7199116,-2.1786058,-1.1318159,-11.950885,-26.340204,-9.268688,-7.759211,-15.622428,-5.855039,-5.240641,-8.298782,-0.062170267,-0.028858026,0.022231754,-0.0013087477,-0.003942372,0.018699594,0.019910095,-0.0003354332,-0.00095031195,0.0101234,0.0044156294,-0.0033131149,-0.008940591
7,-579.0679,122.14278,5.3527355,1.9053469,0.92475086,-8.452951,-27.836742,-13.824071,-5.7445226,-18.308384,-8.566376,-4.3419495,-10.04475,-0.06681204,-0.030323444,0.03366962,0.011833829,-0.0020981473,0.011384348,0.0049721124,-0.0013303796,0.0018951293,0.0024009664,0.009484764,0.0016612756,0.0011082882
8,-614.9089,121.45243,8.128972,3.1849468,-7.3615603,-9.295206,-20.046383,-8.980706,-6.0194006,-15.688202,-7.671153,-3.868306,-7.908937,-0.03891367,0.001515665,0.025643809,-0.009242105,0.0024513088,0.0017449465,-0.0026924757,0.008046573,0.00628172,0.0012139576,-0.0040916917,0.0017061614,0.0044502732
9,-540.0113,115.16001,-14.65294,-4.3815293,-3.2362084,-14.520186,-25.52428,-10.748389,-6.103954,-13.424402,-6.36993,-5.6798773,-7.9034157,-0.019201366,-0.0027321302,0.010914742,-0.00086455554,-0.0045838323,-0.00040353736,0.0076055466,0.0018046036,0.0011849662,0.0015882124,-0.002639782,0.002006525,0.00018568336
10,-564.30963,125.80865,-8.3883915,5.7731647,-1.962331,-14.520263,-28.48667,-8.557075,-6.150233,-16.852621,-8.931211,-9.883773,-5.9319406,-0.035998914,0.0115193,0.036976907,-0.0012727402,-0.0020147257,0.0035603854,0.0063029286,0.0019823497,0.013148336,0.0033333274,-0.008986599,0.00039071916,-0.0051137204
11,-554.2247,113.802475,8.86291,-6.49561,-5.8871684,-13.013392,-23.08238,-13.144893,-5.117926,-13.2515135,-11.149805,-4.993185,-7.0894938,-0.038391724,-0.0143857505,0.02636618,0.0068975394,0.0009390506,0.009455389,0.0005023469,0.0010070306,-0.000990056,0.0002124382,0.0005773442,-0.0068765627,-0.0033237177
12,-532.0805,122.161995,3.257676,-6.279842,-1.669791,-12.171198,-25.966242,-12.595783,-4.5284734,-15.418928,-11.059128,-3.8208084,-8.657719,-0.026658894,-2.0274685e-05,0.024831306,-0.0049089966,-0.008302998,0.005367359,0.008648018,0.000979806,-0.0021240008,0.01117093,0.008464568,0.002272921,0.0026080068
13,-577.93,129.13718,5.6334233,-3.5861793,-8.452006,-9.771824,-23.126677,-12.401442,-5.121089,-16.239025,-11.310726,-4.6281486,-9.3684025,-0.015337831,0.0053039654,0.020675179,0.0021841966,0.002128236,0.0060566263,-0.004033948,-0.0019614042,0.007469931,0.0036180844,0.0052487343,0.0024413099,-0.0055326708
14,-580.5933,116.22137,7.03475,-7.5840755,-8.441549,-14.151672,-21.11725,-8.974139,-4.405136,-14.6991,-10.941506,-3.6703439,-6.458003,-0.044304743,-0.030583167,0.011191363,0.009477194,-0.0037418187,-0.002334481,0.00067367556,0.0012169814,0.0041642673,0.0067499895,0.0035468177,-0.0018617547,-0.00056979695
15,-608.86426,139.97734,-2.0790923,-3.3234203,-3.3147511,-8.143027,-27.200611,-12.01665,-1.9609929,-15.83792,-11.021015,-2.5194488,-8.382824,-0.02805727,-0.011766633,-0.006906275,-0.0045434586,0.010892007,-1.8824674e-05,0.0064087873,0.004190543,0.0061785737,0.004261449,-0.002765045,-0.0007824233,-0.0032344537
16,-566.7257,127.316864,-1.8085271,-7.001898,-1.4312575,-13.256862,-29.136923,-13.995047,-4.487078,-15.481168,-12.048746,-6.164549,-8.61782,-0.0016145399,-0.006526888,0.009905146,0.0054604243,-0.009116397,-0.0012997811,0.0048189843,0.00692601,0.007008001,-0.0003024461,-0.0032098826,0.00096757995,0.004201019
17,-570.0827,107.300285,15.358534,-9.439959,-11.375952,-13.493914,-18.476358,-9.8887615,-5.6472116,-12.069972,-9.138751,-3.3386598,-5.626012,-0.07029832,-0.0019896668,0.029555278,-0.011117003,0.010167301,-0.0012021956,0.009559208,0.008386205,0.0028474976,0.0009977723,-0.0019413341,0.0084623955,-0.002742889
18,-598.81165,134.42453,12.717386,-8.94103,-9.825894,-11.770548,-16.873207,-9.722428,-6.93426,-14.616319,-10.54086,-3.4145427,-6.8499002,-0.01312635,-0.009765171,0.0051756254,0.014283546,0.0152817555,0.0024784643,0.0015846251,0.0066198804,0.009239272,0.0054131476,-0.003046596,-0.00261515,-0.0038606972
19,-576.92053,119.34558,6.0213847,6.154062,-2.0200448,2.6835012,-1.6271812,-5.889806,2.3660388,-2.4761357,-0.7615861,-1.0993606,0.44436204,-0.0008099699,-0.00051261944,-0.0004597978,0.00049420557,2.295492e-05,0.00071870117,0.0009449585,0.00089976576,0.0010793031,0.00086521596,0.0005035408,0.0004864517,-0.0007922349
20,-548.2969,111.916534,2.0079792,4.3657084,2.7460787,1.3908426,-7.4754505,-7.1254454,-0.50412583,-1.5326301,-2.9757192,-0.8708516,-0.45618543,-0.007484486,0.007060432,-0.0014356354,-0.008610075,-0.004492337,-0.014102846,0.0041235727,3.750094e-05,-0.003540052,0.00034847873,-2.7784686e-06,0.0045455988,0.0025459628
21,-526.86237,134.91438,-7.250275,-1.7487372,-5.1030393,0.12656058,-11.468067,-9.663273,-1.2338105,-11.713798,-7.127455,-2.7769454,-1.186101,-0.015348419,0.0006970238,0.004107647,-0.0007520414,0.0027740453,0.0040424448,0.001265764,-0.00092002435,-4.5489254e-05,-0.002825741,-0.0028815607,-0.0005548977,-0.00046993783
22,-613.06476,111.6036,14.470606,10.797944,4.1523585,6.1218395,5.642401,-1.1562299,3.999523,-1.0692638,-0.66031265,-2.715044,-0.8967077,0.05192752,0.0020074411,-0.016395742,-0.008962932,-0.012777568,-0.0016070915,0.002138235,0.009746606,0.0051427605,0.0062223477,-0.0037890899,-0.003986234,-0.0017689457
23,-502.87872,119.551285,8.057121,-3.9562554,-0.6103743,1.5588605,-12.512483,-13.144287,-4.8811607,-8.053895,-7.975343,-4.146458,-5.36707,-0.00042500507,-0.008425399,-0.006827834,0.0006185616,-0.000994684,0.0012408181,0.0005989384,0.0036029192,0.0060899067,0.0013472472,6.326235e-06,-9.2256974e-05,-0.0018752848
24,-533.9206,125.42516,-6.9892106,8.30684,-4.219884,1.802541,-6.6743903,-7.445171,-0.54685044,-12.750323,-5.997554,-3.6198695,-1.0753012,-0.01871895,0.015044793,0.0028735125,-0.016033046,0.0056502107,-0.004328634,-0.0036584686,0.00055503,-0.004481299,-0.0048642983,-0.0053156833,0.0016649906,0.005060384
25,-533.19855,131.07683,-11.245217,6.13185,2.7802565,1.89382,-11.68533,-11.610558,1.5932474,-10.797004,-5.6202927,-2.665289,-1.7128356,-0.049620286,-0.03255608,0.007433069,0.014537911,0.008681638,0.004422551,0.011990727,0.015253515,0.0045346767,0.00027224142,0.0014949469,0.002280077,0.0015756392
26,-537.6548,138.18483,-7.0781074,-0.100797646,3.017276,4.4085116,-12.588547,-13.192334,-2.1201901,-11.58073,-4.2159014,-3.0105593,-2.94089,-0.041460853,-0.031176133,-0.007401179,0.006380035,0.014825566,0.011898307,0.007714247,0.010945267,0.0132308435,0.012329211,0.007407346,0.008334828,0.005926644
27,-545.7722,121.96048,-4.068061,5.4899845,-2.4058192,3.715077,-7.236708,-7.399792,0.18185127,-8.822199,-3.6221578,-3.1329873,-1.4097394,-0.050345223,-0.0022669157,0.0042476803,-0.009713576,0.0021857237,-0.004262624,0.008174358,0.0030307528,0.006761056,0.00096977584,-0.0015182734,-0.0024954418,-0.0026829136
28,-565.6887,113.946686,-5.183311,3.524883,-2.2855299,2.1882966,-6.7609186,-11.098702,-0.31939194,-5.974584,-2.9568691,-3.1832435,-0.07585652,-0.036950596,-0.012486175,-0.004738596,0.0026509145,0.017693946,0.0059193345,0.0075348723,0.002252163,0.009134679,0.0016903336,-0.002870017,0.004208781,0.0050618174
29,-534.56836,113.84804,-7.0368023,-4.3355455,-2.60139,-1.4257953,-13.482832,-12.492236,-5.593328,-8.702878,-4.337376,-1.1228607,-1.3743606,-0.005992786,-0.012471,0.0024513106,-0.0037408061,0.0034421047,0.0052140155,0.005987663,0.009629463,0.009511889,0.005004703,-0.003130602,-0.0038426865,-0.00032160158
30,-597.6362,106.21727,13.090217,18.834831,4.9208283,3.3493392,3.6924243,-2.346551,2.6199546,-4.79879,-2.8876092,-4.156203,-1.6144395,-0.046250053,-0.024043776,-0.006848517,-0.004303719,0.0058779926,0.009939222,0.004185509,-0.002532745,-0.00042648482,-0.0016132555,-0.0029377188,0.0025875983,0.0035554427
31,-572.0572,121.15351,5.9658766,5.83749,-1.5697306,2.6726933,-4.5543733,-7.256811,1.9099721,-4.2492423,-3.0189385,-1.4990388,1.3006426,-0.03156593,-0.020319013,-0.006224039,-0.0032844672,-0.005918718,0.0025309685,0.005446347,0.0042467066,0.0066161584,0.009249396,0.006557478,0.0015108892,-0.002671456
32,-545.6983,116.35556,-4.409217,8.084828,1.0303292,2.6177623,-2.496209,-5.629593,-1.86852,-6.2469835,-3.2584863,-2.959069,-3.9997962,-0.018023787,-0.017459804,-0.009585968,-0.0020433604,-0.004596078,-0.009053264,-0.00062102097,0.00023512165,-0.0010843149,0.002445535,0.0017049882,0.0046579936,0.0050038295
33,-537.67926,134.71306,-4.5327845,6.458971,-0.4160848,0.22235462,-9.362266,-10.341046,2.5101776,-8.062428,-8.07476,-6.999519,-2.1597471,-0.024623616,-0.022586532,-0.012327892,-0.01016668,-0.004215688,0.0062235645,0.0025995378,0.0010188407,-0.006090456,-0.0057604495,-0.0035094116,0.002088398,-0.002209496
34,-592.8064,107.08213,4.3769875,9.546607,0.42976412,3.5187593,4.2716546,-2.4439518,0.5899718,-4.034645,-0.28576282,-2.9267304,-1.1742548,-0.10482934,-0.039545882,0.014761874,0.0077993986,0.010672944,0.0028492264,0.007953358,0.0032672973,0.004508249,0.009158525,0.009013681,0.0041309725,0.0032871857
35,-527.37335,108.0231,10.248007,5.3767977,10.827052,7.9082465,-2.9042437,-2.6431215,0.921862,-2.4243846,-2.29887,-2.2489226,-4.152369,-0.021025276,-0.027781684,-0.0075565763,0.010698242,0.009516136,0.004051098,-0.0008333277,-0.002738842,0.0003436051,0.012202217,0.013281656,0.0018297752,-0.01074769
36,-480.89755,86.53725,3.4100864,-10.515843,-0.12341942,-0.6410967,-13.353883,-13.665908,-6.6111126,-7.355633,-7.810216,-3.596083,-4.2706895,-0.0028879708,0.0017677821,0.0026057162,-0.0018512923,-0.00013561401,-8.627382e-05,-0.0013300253,-0.0007714515,0.00075779157,0.00026111252,-0.00040726634,0.00046397038,0.00021666173
37,-507.5112,122.49696,-9.279888,-6.3396883,2.7445576,1.1393492,-14.171757,-12.027995,-2.8436637,-8.105313,-8.331164,-1.6920233,-2.0020401,-0.0014735543,-0.001654411,5.0043338e-05,0.0011270762,0.00034564146,0.00047766746,0.001163031,0.00019581233,-0.00039845423,0.00029252487,0.00059797586,0.00044945412,-2.4963703e-05
38,-520.8087,124.90806,-3.2759023,-4.7218266,3.7801194,3.066941,-10.631955,-10.042986,-1.5092887,-5.6591964,-5.976821,0.22679013,-1.3100144,-0.0020789097,-0.0016117533,-0.00021184063,4.092793e-05,0.00036454364,-9.336494e-05,-0.00033681988,0.00043556,0.00071828964,0.0004467384,0.000303722,0.00027593726,-3.8514976e-05
39,-540.0381,133.72832,-7.575199,2.5247521,3.8452935,5.9315634,-9.735284,-11.419069,-0.9468811,-6.205703,-3.588178,-3.6040695,1.227281,-0.012335423,-0.007762463,0.00023092197,0.0014596515,0.0008848973,-0.0005663983,0.00020399962,0.0011891648,0.0017284224,0.0033325185,0.0033225296,0.0006884236,0.0012599565
40,-541.4328,132.80309,-6.055501,-2.6490617,-1.9182163,2.532727,-7.1778464,-8.929184,-1.5206109,-6.9851956,-2.4938655,-1.3630049,2.194799,-0.022627097,-0.011531959,7.346091e-06,-0.0028532194,-0.0018759709,0.0008884869,0.01089528,0.0066823172,-0.0018412466,0.00260757,0.0055782143,0.007218594,-0.0013566567
41,-529.25165,114.740685,5.7374535,-4.7756295,3.7198281,2.4553006,-8.003143,-6.981792,-2.5716348,-5.2729573,-4.596189,-1.1947773,-2.6076074,-0.0029388475,-0.00047841648,0.0011187636,-0.0003981284,0.0005069731,0.00017882629,-0.00017973421,-0.00017893723,-6.349005e-05,-0.00018989171,-0.00028848293,0.00018404581,-3.4150287e-06
42,-602.6044,97.886925,2.7623792,6.635572,-3.4407597,1.2165494,-2.2887392,-5.8154583,-2.9271374,-6.2119336,-1.7332865,-5.029902,-2.2158797,-0.054998156,-0.030509625,-0.0047201174,0.0084696235,0.013460523,0.0021150848,0.007814628,0.0117902905,0.0063604363,-0.0004301977,0.0033265254,0.0036636358,0.00789001
43,-515.0763,120.50315,-2.2583115,-3.906289,1.4453977,-1.5616997,-8.413809,-8.476863,-6.4723067,-5.9236474,-5.937209,-3.9900284,-2.5570621,-0.07183049,-0.046740443,0.00073507166,-0.0013913556,0.01222457,0.006906186,0.010452323,0.01533525,0.0040829377,0.008314611,0.007868656,0.004590463,0.011430136
44,-498.1269,110.79628,10.456643,-7.3211474,2.0158894,-0.8171465,-9.448451,-7.382014,-4.028885,-5.1198535,-4.0718656,-2.8900445,-4.3374343,-0.021447934,-0.022693908,-0.0056531844,-0.0055481163,-0.0033877536,0.020947183,0.017239908,-0.0025604425,-0.0040271627,-0.0017892132,0.002596098,-3.0679028e-05,-0.0011836606
45,-531.0702,120.479645,5.6529903,-8.472652,3.3918447,2.855709,-5.9083037,-7.5102205,-3.2031384,-4.1729703,-5.4856396,-4.1645727,-4.6860285,-0.03600549,-0.024722807,0.0027235807,-0.00055537705,-0.0039513763,-0.00046816887,0.007883505,0.010738316,0.003721886,0.0018198133,0.0056130514,0.0071824617,0.0040015588
46,-540.09875,125.05536,-9.276571,4.1623683,1.1642673,2.1597803,-6.6268463,-8.598618,-0.6810555,-5.9594455,-2.264521,-1.898623,0.7255883,-0.008275951,-0.008881206,0.005514558,0.00352297,-0.0036824236,0.0021704885,0.012013357,0.004993505,-0.0029710494,0.00071120943,-0.0016766114,-0.002466002,-0.0033481254
47,-537.4606,111.21171,-4.8857384,1.360386,4.580668,1.9065025,-3.68299,-3.924962,0.17887099,-2.3837373,-2.593896,-0.9024942,-2.295255,-0.03209686,-0.028899752,0.0007203107,0.013757774,0.012939265,0.008241441,0.0017163494,0.0017635518,0.0007712361,-0.0003855288,0.0047362735,0.0027631673,0.00031754858
48,-530.7195,123.02651,-0.27493808,-2.5748236,0.6003809,-3.098226,-9.702515,-6.6738515,-2.1112723,-6.009277,-4.9261985,-2.5553422,-3.585425,-0.0383373,-0.023234475,0.008127246,0.012760556,0.007926493,0.0026000605,0.006855426,0.0012657378,-0.0016871854,-0.0026280766,0.0019108693,0.008381106,-0.0009898186
49,-562.9526,110.2607,-3.3681657,4.3080797,-3.249835,0.30372745,-7.4973116,-9.129193,-0.42151612,-5.8901024,-3.5940964,-3.6657069,-4.8460326,-0.030800097,-0.020672843,0.02115101,0.01312965,0.011527512,0.008760781,0.0056605223,0.0070007374,0.0054330197,0.00023886118,0.005417553,0.0055986904,0.0022054624
50,-576.4165,115.557625,2.5481977,9.900554,1.2048229,0.0964337,-6.591072,-10.069929,-0.31515437,-5.6898937,-2.5426881,-3.116768,-2.1626189,-0.0147813605,-0.004423304,-0.0016759246,-0.0011700956,0.00029225988,-0.00038324128,8.419795e-05,0.00040691573,-0.0027018946,-0.0019231152,0.00075045537,0.002086484,0.0025476636
51,-560.493,121.738304,-5.3946776,-1.4409314,-5.869011,2.2969973,-5.0291686,-10.858851,-1.0989687,-3.347031,-2.569288,-3.1889508,-0.27351496,-0.0481685,-0.026586022,0.0052021747,0.0072613596,-0.0023329544,-0.009704722,-0.0008321991,0.0071420344,-0.0043635783,-0.006237169,-9.706603e-05,0.00010197211,0.0015603735
