,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,-561.53827,120.503944,3.2198327,-2.7044206,-9.25096,-7.493754,-20.736685,-11.345624,-4.27431,-14.584311,-10.212305,-4.569901,-7.536999
1,-546.14,127.28061,7.3950152,6.4857445,-2.1786509,-7.5887995,-20.06539,-12.662382,-4.1633425,-12.786127,-9.867358,-7.4368024,-7.818509
2,-569.58636,115.32859,9.573596,-5.9737296,-5.078678,-13.719212,-19.48752,-10.98313,-8.273283,-14.621955,-9.719676,-3.5344043,-6.857751
3,-622.4742,126.88687,19.128456,-5.768638,-7.7355514,-15.834359,-18.463413,-9.131722,-10.626032,-15.467518,-8.052928,-7.8957148,-10.142233
4,-557.62115,121.59878,2.8597298,-8.688044,-4.4365964,-12.697147,-25.650787,-11.860758,-6.504335,-14.324159,-9.139252,-4.826102,-6.220009
5,-580.00726,135.42194,-6.5648265,-5.8948107,-2.8347883,-11.631965,-26.4683,-10.09029,-7.3570247,-19.568216,-10.447486,-5.087588,-7.880221
6,-548.49365,115.172295,-7.7199116,-2.1786058,-1.1318159,-11.950885,-26.340204,-9.268688,-7.759211,-15.622428,-5.855039,-5.240641,-8.298782
7,-579.0679,122.14278,5.3527355,1.9053469,0.92475086,-8.452951,-27.836742,-13.824071,-5.7445226,-18.308384,-8.566376,-4.3419495,-10.04475
8,-614.9089,121.45243,8.128972,3.1849468,-7.3615603,-9.295206,-20.046383,-8.980706,-6.0194006,-15.688202,-7.671153,-3.868306,-7.908937
9,-540.0113,115.16001,-14.65294,-4.3815293,-3.2362084,-14.520186,-25.52428,-10.748389,-6.103954,-13.424402,-6.36993,-5.6798773,-7.9034157
10,-564.30963,125.80865,-8.3883915,5.7731647,-1.962331,-14.520263,-28.48667,-8.557075,-6.150233,-16.852621,-8.931211,-9.883773,-5.9319406
11,-554.2247,113.802475,8.86291,-6.49561,-5.8871684,-13.013392,-23.08238,-13.144893,-5.117926,-13.2515135,-11.149805,-4.993185,-7.0894938
12,-532.0805,122.161995,3.257676,-6.279842,-1.669791,-12.171198,-25.966242,-12.595783,-4.5284734,-15.418928,-11.059128,-3.8208084,-8.657719
13,-577.93,129.13718,5.6334233,-3.5861793,-8.452006,-9.771824,-23.126677,-12.401442,-5.121089,-16.239025,-11.310726,-4.6281486,-9.3684025
14,-580.5933,116.22137,7.03475,-7.5840755,-8.441549,-14.151672,-21.11725,-8.974139,-4.405136,-14.6991,-10.941506,-3.6703439,-6.458003
15,-608.86426,139.97734,-2.0790923,-3.3234203,-3.3147511,-8.143027,-27.200611,-12.01665,-1.9609929,-15.83792,-11.021015,-2.5194488,-8.382824
