,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta1_13,mfcc_delta1_14,mfcc_delta1_15,mfcc_delta1_16
0,-561.53827,120.503944,3.2198327,-2.7044206,-9.25096,-7.493754,-20.736685,-11.345624,-4.27431,-14.584311,-10.212305,-4.569901,-7.536999,-9.332123,-5.507183,-1.5195594,-4.6312017,-0.008381724,-0.050892267,-0.06974854,-0.018051356,0.019857854,0.016643342,0.004249178,0.011299101,0.00999312,0.00023510652,0.011223831,0.008879846,-0.006304767,-0.008232766,-0.0041019553,0.0021849407,-0.002730472
1,-546.14,127.28061,7.3950152,6.4857445,-2.1786509,-7.5887995,-20.06539,-12.662382,-4.1633425,-12.786127,-9.867358,-7.4368024,-7.818509,-5.3116326,-7.039266,-5.9514384,-5.2661834,-0.08755227,-0.07515459,-0.027173197,-0.0013199779,0.028166646,0.0051789167,-0.017796386,0.00054151966,0.02091974,0.02411071,0.028165523,0.019784072,-0.0011367664,0.00010737678,0.002045823,-0.001687434,0.002623685
2,-569.58636,115.32859,9.573596,-5.9737296,-5.078678,-13.719212,-19.48752,-10.98313,-8.273283,-14.621955,-9.719676,-3.5344043,-6.857751,-6.6105337,-2.7212746,-3.4799438,-4.482608,-0.013694506,-0.022494337,-0.032746755,-0.045365117,-0.039680928,-0.002326173,0.03509529,0.029038148,-0.0025604921,-0.0048618824,0.017824309,0.017652635,0.00018514795,0.0036481456,0.015967628,0.006427025,-0.0072094714
3,-622.4742,126.88687,19.128456,-5.768638,-7.7355514,-15.834359,-18.463413,-9.131722,-10.626032,-15.467518,-8.052928,-7.8957148,-10.142233,-5.6646976,-4.6905203,-4.797982,-4.0646,-0.03488331,-0.032651253,-0.003696389,0.0042077703,-0.002978502,-0.0044033057,0.0002460409,0.0046325326,0.004684176,0.00617547,0.005485995,0.004429246,0.013983563,0.015428167,0.0037338051,-0.0012942097,-2.4385485e-05
4,-557.62115,121.59878,2.8597298,-8.688044,-4.4365964,-12.697147,-25.650787,-11.860758,-6.504335,-14.324159,-9.139252,-4.826102,-6.220009,-8.170452,-6.7317843,-4.64271,-4.595067,-0.06507735,-0.005583414,0.04342265,-0.0028576166,-0.0028506697,0.0054447823,0.008377387,0.007312896,0.002281544,-0.001815598,0.004386325,0.0010609756,-0.009289084,-0.0042488207,-0.0069234325,0.00067249127,0.0015273163
5,-580.00726,135.42194,-6.5648265,-5.8948107,-2.8347883,-11.631965,-26.4683,-10.09029,-7.3570247,-19.568216,-10.447486,-5.087588,-7.880221,-7.4348836,-8.4439535,-6.1099987,-2.0858727,-0.13966276,-0.082302734,0.056426164,0.04357204,0.0044769747,0.0032279445,-0.010266414,-0.022360165,-0.008449018,0.0012607204,0.005394028,0.012109236,0.0104218945,0.014410605,0.016725361,-8.181239e-05,-0.004678462
6,-548.49365,115.172295,-7.7199116,-2.1786058,-1.1318159,-11.950885,-26.340204,-9.268688,-7.759211,-15.622428,-5.855039,-5.240641,-8.298782,-6.801107,-5.4055986,-4.4739957,-1.9469429,-0.057299938,-0.045599535,0.021323577,0.040095005,0.020964507,0.0034403827,-0.010028029,0.00010449874,0.008682179,0.0063433973,-0.0075535583,-0.019112905,0.0014870396,0.003060617,-0.0070650047,0.0014952997,-0.0004304469
7,-579.0679,122.14278,5.3527355,1.9053469,0.92475086,-8.452951,-27.836742,-13.824071,-5.7445226,-18.308384,-8.566376,-4.3419495,-10.04475,-7.505379,-5.6978188,-5.430119,-2.9434242,-0.17812695,-0.11553632,0.054732285,0.052069988,0.01919283,0.028579907,0.018762834,0.017571071,0.037120182,0.02496298,-0.00774006,-0.023950832,-0.0052164914,0.011626498,0.015422521,0.015523635,0.0075519406
8,-614.9089,121.45243,8.128972,3.1849468,-7.3615603,-9.295206,-20.046383,-8.980706,-6.0194006,-15.688202,-7.671153,-3.868306,-7.908937,-5.7865386,-4.0480795,-4.6300716,-2.7788756,0.027462292,-0.010019458,-0.041498344,-0.0056320573,0.0067357887,0.002182863,-0.00524541,-0.010320388,-0.0042527528,-0.008804403,0.0028244802,0.019560978,-0.000120251476,-0.0027449888,0.014683329,0.0043510874,0.0043719495
9,-540.0113,115.16001,-14.65294,-4.3815293,-3.2362084,-14.520186,-25.52428,-10.748389,-6.103954,-13.424402,-6.36993,-5.6798773,-7.9034157,-6.5995574,-7.2831383,-4.610372,-1.5710663,-0.026541436,-0.008564318,0.01522333,0.0023107256,0.0015052207,0.00056154234,-0.003832854,0.0004976967,0.0030148046,-0.00047226303,-0.005889014,-0.002612707,-0.002128814,-0.0009683523,0.0012689488,-2.6065632e-05,0.00043935204
