,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20,mfcc_delta2_21,mfcc_delta2_22
0,-561.53827,120.503944,3.2198327,-2.7044206,-9.25096,-7.493754,-20.736685,-11.345624,-4.27431,-14.584311,-10.212305,-4.569901,-7.536999,-9.332123,-5.507183,-1.5195594,-4.6312017,-6.488462,-1.5399143,-3.104001,-4.348579,-1.791677,-4.876532,-0.05316852,-0.04869422,-0.0061370153,0.010594492,0.010428792,0.01060566,0.0112494035,0.0047706217,0.001406859,0.010498755,0.008975973,0.0031254648,0.011691311,0.010058417,0.00063436583,0.002645424,0.0058571957,0.0052310987,0.0011662228,0.0002741048,0.0035028614,0.0012642589,0.002608744
1,-546.14,127.28061,7.3950152,6.4857445,-2.1786509,-7.5887995,-20.06539,-12.662382,-4.1633425,-12.786127,-9.867358,-7.4368024,-7.818509,-5.3116326,-7.039266,-5.9514384,-5.2661834,-7.9108424,-3.6456034,-3.267463,-5.6536016,-2.4877415,-2.2667115,-0.041310858,-0.026367785,0.021529708,0.01240681,0.007909623,0.020250792,-0.0028681175,0.002459843,0.014994089,0.008581281,0.011980631,0.004525811,-0.00825164,-0.008601772,-0.0039888653,-0.0036998226,0.00053661916,0.0031390695,-0.0050260783,-0.0011431746,0.012020719,0.00698808,-0.0009381124
2,-569.58636,115.32859,9.573596,-5.9737296,-5.078678,-13.719212,-19.48752,-10.98313,-8.273283,-14.621955,-9.719676,-3.5344043,-6.857751,-6.6105337,-2.7212746,-3.4799438,-4.482608,-5.402904,-3.9044342,-3.0299497,-5.5082655,-4.832496,-3.6425066,-0.04899917,-0.04486662,-0.0058116554,0.0047512404,1.632912e-05,0.0065334165,0.01302737,0.004410359,-0.0041410387,0.0013071506,0.0078100986,0.003231963,-0.0016192374,0.004019785,0.010433183,0.0056007775,-0.0035020455,-0.0038806724,0.000886475,0.0005248779,-0.0017154479,0.00076792366,0.0035097029
3,-622.4742,126.88687,19.128456,-5.768638,-7.7355514,-15.834359,-18.463413,-9.131722,-10.626032,-15.467518,-8.052928,-7.8957148,-10.142233,-5.6646976,-4.6905203,-4.797982,-4.0646,-5.6667967,-5.619593,-5.350022,-5.270788,-5.4389973,-6.51529,-0.047041725,-0.024629408,0.016153444,0.006017473,-0.0012654805,0.0025530232,0.0073310295,0.0038921786,-0.0014419851,0.0026268465,0.0041611213,0.0035059093,0.005537316,0.006359739,0.0036955143,-0.0018201899,-0.0019361164,0.0035449474,0.0028476603,0.0001263352,0.0010237843,-0.0016923328,-0.0015652959
4,-557.62115,121.59878,2.8597298,-8.688044,-4.4365964,-12.697147,-25.650787,-11.860758,-6.504335,-14.324159,-9.139252,-4.826102,-6.220009,-8.170452,-6.7317843,-4.64271,-4.595067,-6.4718237,-5.982061,-5.1637754,-5.16145,-4.2623305,-5.6876664,-0.035847,-0.002180553,0.01641367,-0.0049216957,-0.00077429845,-0.003401656,0.0025487158,0.0039042362,0.0049339784,0.001766854,0.0027777224,0.0034685982,0.0001738837,0.0010589907,-0.00088475307,0.0026813473,-0.0006804503,-0.0009777381,0.00030080098,0.0019073841,0.0034141943,-0.0005020082,0.0023988069
5,-580.00726,135.42194,-6.5648265,-5.8948107,-2.8347883,-11.631965,-26.4683,-10.09029,-7.3570247,-19.568216,-10.447486,-5.087588,-7.880221,-7.4348836,-8.4439535,-6.1099987,-2.0858727,-5.576919,-4.94554,-3.8090475,-5.813574,-3.758225,-5.8033333,-0.054779947,-0.02200961,0.01950497,-4.5768684e-05,-8.487053e-05,0.003729621,0.0014380489,-0.0012295813,-0.0038200303,-0.002312709,-0.0012430695,-0.0010415579,0.002377503,-0.0020678542,0.00077196193,0.002650449,-0.0015312305,0.0070885345,-0.0015587703,-0.0008639994,0.0064748805,-0.0046373797,-0.0029301476
6,-548.49365,115.172295,-7.7199116,-2.1786058,-1.1318159,-11.950885,-26.340204,-9.268688,-7.759211,-15.622428,-5.855039,-5.240641,-8.298782,-6.801107,-5.4055986,-4.4739957,-1.9469429,-5.4168954,-4.647689,-2.5973756,-6.723044,-5.8801703,-7.061337,-0.062170267,-0.028858026,0.022231754,-0.0013087477,-0.003942372,0.018699594,0.019910095,-0.0003354332,-0.00095031195,0.0101234,0.0044156294,-0.0033131149,-0.008940591,-0.003937409,0.006034877,0.0066157132,0.003480008,0.0020082693,0.005715072,4.775512e-05,-0.0032825721,0.0009842834,-0.00081980374
7,-579.0679,122.14278,5.3527355,1.9053469,0.92475086,-8.452951,-27.836742,-13.824071,-5.7445226,-18.308384,-8.566376,-4.3419495,-10.04475,-7.505379,-5.6978188,-5.430119,-2.9434242,-5.809006,-5.899393,-4.575346,-4.7076397,-3.6049628,-6.401493,-0.06681204,-0.030323444,0.03366962,0.011833829,-0.0020981473,0.011384348,0.0049721124,-0.0013303796,0.0018951293,0.0024009664,0.009484764,0.0016612756,0.0011082882,0.0039994614,0.0019245254,0.008317001,0.0040405714,0.012411843,0.008842374,0.0014502013,0.009686349,-0.00033788994,0.00055601815
8,-614.9089,121.45243,8.128972,3.1849468,-7.3615603,-9.295206,-20.046383,-8.980706,-6.0194006,-15.688202,-7.671153,-3.868306,-7.908937,-5.7865386,-4.0480795,-4.6300716,-2.7788756,-5.813339,-5.223771,-3.6608746,-5.4416637,-5.193965,-5.3698044,-0.03891367,0.001515665,0.025643809,-0.009242105,0.0024513088,0.0017449465,-0.0026924757,0.008046573,0.00628172,0.0012139576,-0.0040916917,0.0017061614,0.0044502732,-0.0006905372,-0.0005563519,-0.0051177624,-0.005298798,0.0005645797,0.0011325751,-0.0009484081,-0.00018521138,0.0013214216,0.0015482582
9,-540.0113,115.16001,-14.65294,-4.3815293,-3.2362084,-14.520186,-25.52428,-10.748389,-6.103954,-13.424402,-6.36993,-5.6798773,-7.9034157,-6.5995574,-7.2831383,-4.610372,-1.5710663,-7.494418,-7.3749537,-4.5478883,-5.9282427,-4.898281,-6.5497446,-0.019201366,-0.0027321302,0.010914742,-0.00086455554,-0.0045838323,-0.00040353736,0.0076055466,0.0018046036,0.0011849662,0.0015882124,-0.002639782,0.002006525,0.00018568336,-0.00068644097,0.001802159,-0.0004428885,-0.0008153863,0.0006290185,0.00052533596,0.0002909989,0.0020450475,0.0031069056,0.0057647056
10,-564.30963,125.80865,-8.3883915,5.7731647,-1.962331,-14.520263,-28.48667,-8.557075,-6.150233,-16.852621,-8.931211,-9.883773,-5.9319406,-5.6655154,-8.369765,-5.1056414,-1.8509239,-4.537796,-5.197887,-3.3466506,-4.300309,-4.1318736,-7.546395,-0.035998914,0.0115193,0.036976907,-0.0012727402,-0.0020147257,0.0035603854,0.0063029286,0.0019823497,0.013148336,0.0033333274,-0.008986599,0.00039071916,-0.0051137204,0.0051438618,0.010974083,-0.0014157679,-0.0021465628,0.00069144944,0.0015481014,0.006478622,0.0007692608,-0.005129478,0.00064061966
11,-554.2247,113.802475,8.86291,-6.49561,-5.8871684,-13.013392,-23.08238,-13.144893,-5.117926,-13.2515135,-11.149805,-4.993185,-7.0894938,-8.994462,-5.4002657,-3.2557206,-5.168114,-6.556648,-5.135953,-3.6992354,-3.7275693,-4.979491,-5.120457,-0.038391724,-0.0143857505,0.02636618,0.0068975394,0.0009390506,0.009455389,0.0005023469,0.0010070306,-0.000990056,0.0002124382,0.0005773442,-0.0068765627,-0.0033237177,0.00040060809,0.0004655779,0.0023741836,0.006164352,0.0063192337,0.00088009896,0.00032364685,0.0015931068,0.0028844946,0.006163226
12,-532.0805,122.161995,3.257676,-6.279842,-1.669791,-12.171198,-25.966242,-12.595783,-4.5284734,-15.418928,-11.059128,-3.8208084,-8.657719,-9.423771,-6.7308993,-6.216419,-4.9091716,-7.110399,-6.8063483,-4.9791956,-5.181255,-4.557924,-5.856102,-0.026658894,-2.0274685e-05,0.024831306,-0.0049089966,-0.008302998,0.005367359,0.008648018,0.000979806,-0.0021240008,0.01117093,0.008464568,0.002272921,0.0026080068,0.004542593,0.0058173137,0.0048155985,0.008429518,0.0029731032,0.0016346187,0.0057910285,-0.0033881967,-0.005811805,-0.0016247272
13,-577.93,129.13718,5.6334233,-3.5861793,-8.452006,-9.771824,-23.126677,-12.401442,-5.121089,-16.239025,-11.310726,-4.6281486,-9.3684025,-10.038823,-5.4873953,-4.19133,-4.3584504,-5.5903935,-4.5068293,-3.9592402,-4.455796,-4.5473986,-5.5754943,-0.015337831,0.0053039654,0.020675179,0.0021841966,0.002128236,0.0060566263,-0.004033948,-0.0019614042,0.007469931,0.0036180844,0.0052487343,0.0024413099,-0.0055326708,-0.0055621774,-0.0029767645,0.0050980174,0.003668892,1.9561652e-05,0.0044796653,0.0030609537,-0.0024987985,-0.0011892398,0.0012786997
14,-580.5933,116.22137,7.03475,-7.5840755,-8.441549,-14.151672,-21.11725,-8.974139,-4.405136,-14.6991,-10.941506,-3.6703439,-6.458003,-9.47301,-6.19838,-4.6707845,-4.6975093,-4.4904656,-4.87214,-4.808662,-4.596305,-4.5315495,-5.3126507,-0.044304743,-0.030583167,0.011191363,0.009477194,-0.0037418187,-0.002334481,0.00067367556,0.0012169814,0.0041642673,0.0067499895,0.0035468177,-0.0018617547,-0.00056979695,0.0023248363,0.0003415999,0.002226907,0.00660392,0.003039881,-0.0015594331,-0.00037980767,0.0011562312,0.0013946785,0.0014287975
15,-608.86426,139.97734,-2.0790923,-3.3234203,-3.3147511,-8.143027,-27.200611,-12.01665,-1.9609929,-15.83792,-11.021015,-2.5194488,-8.382824,-9.791206,-3.311884,-5.7282243,-4.4189906,-3.716582,-5.099066,-3.8429914,-3.2871795,-4.2606,-5.1104774,-0.02805727,-0.011766633,-0.006906275,-0.0045434586,0.010892007,-1.8824674e-05,0.0064087873,0.004190543,0.0061785737,0.004261449,-0.002765045,-0.0007824233,-0.0032344537,0.0027994036,0.00083001726,0.0065824706,0.005805493,-0.0028669573,0.002876036,0.00056080567,0.0005353901,0.002232781,0.00029522306
16,-566.7257,127.316864,-1.8085271,-7.001898,-1.4312575,-13.256862,-29.136923,-13.995047,-4.487078,-15.481168,-12.048746,-6.164549,-8.61782,-8.320825,-3.919024,-3.7551384,-5.0101523,-5.8503933,-4.9578714,-3.3851051,-3.8536677,-4.597022,-5.666539,-0.0016145399,-0.006526888,0.009905146,0.0054604243,-0.009116397,-0.0012997811,0.0048189843,0.00692601,0.007008001,-0.0003024461,-0.0032098826,0.00096757995,0.004201019,0.0059127132,0.0051687793,0.0035985154,0.002042809,-0.0015548046,-0.002778652,0.00076356804,0.0030898273,0.002008043,0.003050231
17,-570.0827,107.300285,15.358534,-9.439959,-11.375952,-13.493914,-18.476358,-9.8887615,-5.6472116,-12.069972,-9.138751,-3.3386598,-5.626012,-7.985735,-4.4702115,-2.584844,-3.8325653,-4.870037,-4.858304,-3.8558304,-4.079369,-4.693111,-4.8607836,-0.07029832,-0.0019896668,0.029555278,-0.011117003,0.010167301,-0.0012021956,0.009559208,0.008386205,0.0028474976,0.0009977723,-0.0019413341,0.0084623955,-0.002742889,0.0007510947,0.0006274708,-0.006135411,0.0026201396,0.0024333561,0.0009221266,0.0019768714,-0.0020754987,-0.002663784,0.0009035219
18,-598.81165,134.42453,12.717386,-8.94103,-9.825894,-11.770548,-16.873207,-9.722428,-6.93426,-14.616319,-10.54086,-3.4145427,-6.8499002,-7.3862853,-4.9628854,-4.9133587,-3.2301888,-4.4837346,-4.791267,-3.3444233,-4.1338096,-4.4377446,-4.79721,-0.01312635,-0.009765171,0.0051756254,0.014283546,0.0152817555,0.0024784643,0.0015846251,0.0066198804,0.009239272,0.0054131476,-0.003046596,-0.00261515,-0.0038606972,0.0022146534,0.0024539833,-0.00541236,-0.0023820212,0.003312319,0.005867439,0.0043391874,0.0052992324,0.0060489327,0.004522995
19,-576.92053,119.34558,6.0213847,6.154062,-2.0200448,2.6835012,-1.6271812,-5.889806,2.3660388,-2.4761357,-0.7615861,-1.0993606,0.44436204,-4.3093724,-1.6452692,-1.671051,-1.8522619,-2.6083157,-3.277668,0.20508488,-1.1556906,-0.83412844,-3.068913,-0.0008099699,-0.00051261944,-0.0004597978,0.00049420557,2.295492e-05,0.00071870117,0.0009449585,0.00089976576,0.0010793031,0.00086521596,0.0005035408,0.0004864517,-0.0007922349,-0.00062429067,0.0012241363,4.5787914e-05,-0.001118034,-0.00026950156,0.0005894269,0.00065616524,0.00024218309,9.760785e-05,0.0008474519
20,-548.2969,111.916534,2.0079792,4.3657084,2.7460787,1.3908426,-7.4754505,-7.1254454,-0.50412583,-1.5326301,-2.9757192,-0.8708516,-0.45618543,-3.296799,-2.5500045,-1.5028539,-0.16056679,-3.9846911,-4.1447973,-1.4755958,-1.3969554,-1.1312952,-2.4224114,-0.007484486,0.007060432,-0.0014356354,-0.008610075,-0.004492337,-0.014102846,0.0041235727,3.750094e-05,-0.003540052,0.00034847873,-2.7784686e-06,0.0045455988,0.0025459628,0.004391174,0.0011710412,0.007088203,0.005664458,0.0027153718,-0.0016867177,-0.0048683183,0.0046252897,0.0006847039,0.005074931
21,-526.86237,134.91438,-7.250275,-1.7487372,-5.1030393,0.12656058,-11.468067,-9.663273,-1.2338105,-11.713798,-7.127455,-2.7769454,-1.186101,-5.522635,-3.0177379,-3.3133192,-1.9127533,-2.0559857,-5.0705504,-4.716585,-0.8497239,-0.36500907,-1.3735114,-0.015348419,0.0006970238,0.004107647,-0.0007520414,0.0027740453,0.0040424448,0.001265764,-0.00092002435,-4.5489254e-05,-0.002825741,-0.0028815607,-0.0005548977,-0.00046993783,-0.0010285733,-0.0029419402,0.00018589648,-0.0008404294,-0.000193956,0.0017296573,0.0010742577,0.0009996549,0.0007728841,-0.0002078134
22,-613.06476,111.6036,14.470606,10.797944,4.1523585,6.1218395,5.642401,-1.1562299,3.999523,-1.0692638,-0.66031265,-2.715044,-0.8967077,-4.6149545,-5.744855,-5.8718915,-3.787728,-2.5237525,-4.849438,-4.5480485,-5.4511094,-3.5715625,-5.672795,0.05192752,0.0020074411,-0.016395742,-0.008962932,-0.012777568,-0.0016070915,0.002138235,0.009746606,0.0051427605,0.0062223477,-0.0037890899,-0.003986234,-0.0017689457,0.0027930534,0.0014061254,0.005824668,0.0061505134,0.0041236575,0.0029705458,0.004576661,0.0055049374,0.008066739,0.0072553577
23,-502.87872,119.551285,8.057121,-3.9562554,-0.6103743,1.5588605,-12.512483,-13.144287,-4.8811607,-8.053895,-7.975343,-4.146458,-5.36707,-5.995896,-4.3424225,-3.009741,-0.4260779,-1.3072293,-5.2544684,-4.7446136,-3.0920944,-4.1689544,-3.4189055,-0.00042500507,-0.008425399,-0.006827834,0.0006185616,-0.000994684,0.0012408181,0.0005989384,0.0036029192,0.0060899067,0.0013472472,6.326235e-06,-9.2256974e-05,-0.0018752848,8.433515e-05,0.005027085,0.003593479,0.0015861528,-0.001825759,-0.0026077416,0.00348199,0.0012570758,-0.0014234078,0.0012698366
