,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta1_13,mfcc_delta1_14,mfcc_delta1_15,mfcc_delta1_16,mfcc_delta1_17,mfcc_delta1_18,mfcc_delta1_19,mfcc_delta1_20,mfcc_delta1_21,mfcc_delta1_22,mfcc_delta1_23,mfcc_delta1_24,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20,mfcc_delta2_21,mfcc_delta2_22,mfcc_delta2_23,mfcc_delta2_24
0,-561.53827,120.503944,3.2198327,-2.7044206,-9.25096,-7.493754,-20.736685,-11.345624,-4.27431,-14.584311,-10.212305,-4.569901,-7.536999,-9.332123,-5.507183,-1.5195594,-4.6312017,-6.488462,-1.5399143,-3.104001,-4.348579,-1.791677,-4.876532,-4.735868,-1.9234375,-0.008381724,-0.050892267,-0.06974854,-0.018051356,0.019857854,0.016643342,0.004249178,0.011299101,0.00999312,0.00023510652,0.011223831,0.008879846,-0.006304767,-0.008232766,-0.0041019553,0.0021849407,-0.002730472,-0.009476549,0.0009818305,0.007796961,0.0025153297,0.00030885436,0.0012153147,-0.0024378446,-0.0040879394,-0.05316852,-0.04869422,-0.0061370153,0.010594492,0.010428792,0.01060566,0.0112494035,0.0047706217,0.001406859,0.010498755,0.008975973,0.0031254648,0.011691311,0.010058417,0.00063436583,0.002645424,0.0058571957,0.0052310987,0.0011662228,0.0002741048,0.0035028614,0.0012642589,0.002608744,0.0056176316,0.0004580602
1,-546.14,127.28061,7.3950152,6.4857445,-2.1786509,-7.5887995,-20.06539,-12.662382,-4.1633425,-12.786127,-9.867358,-7.4368024,-7.818509,-5.3116326,-7.039266,-5.9514384,-5.2661834,-7.9108424,-3.6456034,-3.267463,-5.6536016,-2.4877415,-2.2667115,-4.9133096,-2.0506766,-0.08755227,-0.07515459,-0.027173197,-0.0013199779,0.028166646,0.0051789167,-0.017796386,0.00054151966,0.02091974,0.02411071,0.028165523,0.019784072,-0.0011367664,0.00010737678,0.002045823,-0.001687434,0.002623685,0.004266781,0.012382488,0.014272689,0.001029244,0.0025235843,0.0139231505,0.009949586,-0.0060537336,-0.041310858,-0.026367785,0.021529708,0.01240681,0.007909623,0.020250792,-0.0028681175,0.002459843,0.014994089,0.008581281,0.011980631,0.004525811,-0.00825164,-0.008601772,-0.0039888653,-0.0036998226,0.00053661916,0.0031390695,-0.0050260783,-0.0011431746,0.012020719,0.00698808,-0.0009381124,0.0050579486,0.0050923433
2,-569.58636,115.32859,9.573596,-5.9737296,-5.078678,-13.719212,-19.48752,-10.98313,-8.273283,-14.621955,-9.719676,-3.5344043,-6.857751,-6.6105337,-2.7212746,-3.4799438,-4.482608,-5.402904,-3.9044342,-3.0299497,-5.5082655,-4.832496,-3.6425066,-3.118563,-1.6819987,-0.013694506,-0.022494337,-0.032746755,-0.045365117,-0.039680928,-0.002326173,0.03509529,0.029038148,-0.0025604921,-0.0048618824,0.017824309,0.017652635,0.00018514795,0.0036481456,0.015967628,0.006427025,-0.0072094714,0.001284713,0.011168193,0.0010068273,-0.009341692,-0.0045394003,0.0024181185,0.0030196614,0.0012975103,-0.04899917,-0.04486662,-0.0058116554,0.0047512404,1.632912e-05,0.0065334165,0.01302737,0.004410359,-0.0041410387,0.0013071506,0.0078100986,0.003231963,-0.0016192374,0.004019785,0.010433183,0.0056007775,-0.0035020455,-0.0038806724,0.000886475,0.0005248779,-0.0017154479,0.00076792366,0.0035097029,0.0021562348,0.0010251123
3,-622.4742,126.88687,19.128456,-5.768638,-7.7355514,-15.834359,-18.463413,-9.131722,-10.626032,-15.467518,-8.052928,-7.8957148,-10.142233,-5.6646976,-4.6905203,-4.797982,-4.0646,-5.6667967,-5.619593,-5.350022,-5.270788,-5.4389973,-6.51529,-4.2661247,-1.4070349,-0.03488331,-0.032651253,-0.003696389,0.0042077703,-0.002978502,-0.0044033057,0.0002460409,0.0046325326,0.004684176,0.00617547,0.005485995,0.004429246,0.013983563,0.015428167,0.0037338051,-0.0012942097,-2.4385485e-05,0.0010294796,0.0008127482,0.0019872151,0.0015734936,-0.0049429704,-0.003483116,0.0010240105,-0.0009239704,-0.047041725,-0.024629408,0.016153444,0.006017473,-0.0012654805,0.0025530232,0.0073310295,0.0038921786,-0.0014419851,0.0026268465,0.0041611213,0.0035059093,0.005537316,0.006359739,0.0036955143,-0.0018201899,-0.0019361164,0.0035449474,0.0028476603,0.0001263352,0.0010237843,-0.0016923328,-0.0015652959,-0.0022795529,-0.008971975
4,-557.62115,121.59878,2.8597298,-8.688044,-4.4365964,-12.697147,-25.650787,-11.860758,-6.504335,-14.324159,-9.139252,-4.826102,-6.220009,-8.170452,-6.7317843,-4.64271,-4.595067,-6.4718237,-5.982061,-5.1637754,-5.16145,-4.2623305,-5.6876664,-4.78182,-2.4469779,-0.06507735,-0.005583414,0.04342265,-0.0028576166,-0.0028506697,0.0054447823,0.008377387,0.007312896,0.002281544,-0.001815598,0.004386325,0.0010609756,-0.009289084,-0.0042488207,-0.0069234325,0.00067249127,0.0015273163,-0.009126337,-0.0024456142,0.0012714276,-0.001627758,-0.003025845,0.0005215734,-0.0010799041,-0.0027757226,-0.035847,-0.002180553,0.01641367,-0.0049216957,-0.00077429845,-0.003401656,0.0025487158,0.0039042362,0.0049339784,0.001766854,0.0027777224,0.0034685982,0.0001738837,0.0010589907,-0.00088475307,0.0026813473,-0.0006804503,-0.0009777381,0.00030080098,0.0019073841,0.0034141943,-0.0005020082,0.0023988069,0.00042876863,-0.0014080954
5,-580.00726,135.42194,-6.5648265,-5.8948107,-2.8347883,-11.631965,-26.4683,-10.09029,-7.3570247,-19.568216,-10.447486,-5.087588,-7.880221,-7.4348836,-8.4439535,-6.1099987,-2.0858727,-5.576919,-4.94554,-3.8090475,-5.813574,-3.758225,-5.8033333,-5.521082,-1.4960886,-0.13966276,-0.082302734,0.056426164,0.04357204,0.0044769747,0.0032279445,-0.010266414,-0.022360165,-0.008449018,0.0012607204,0.005394028,0.012109236,0.0104218945,0.014410605,0.016725361,-8.181239e-05,-0.004678462,-0.00053573353,-0.011177438,-0.005370448,0.0020503206,-0.011120746,-0.008817309,0.004411919,0.003144991,-0.054779947,-0.02200961,0.01950497,-4.5768684e-05,-8.487053e-05,0.003729621,0.0014380489,-0.0012295813,-0.0038200303,-0.002312709,-0.0012430695,-0.0010415579,0.002377503,-0.0020678542,0.00077196193,0.002650449,-0.0015312305,0.0070885345,-0.0015587703,-0.0008639994,0.0064748805,-0.0046373797,-0.0029301476,-4.3837084e-05,-0.0014632806
6,-548.49365,115.172295,-7.7199116,-2.1786058,-1.1318159,-11.950885,-26.340204,-9.268688,-7.759211,-15.622428,-5.855039,-5.240641,-8.298782,-6.801107,-5.4055986,-4.4739957,-1.9469429,-5.4168954,-4.647689,-2.5973756,-6.723044,-5.8801703,-7.061337,-7.102624,-3.1047287,-0.057299938,-0.045599535,0.021323577,0.040095005,0.020964507,0.0034403827,-0.010028029,0.00010449874,0.008682179,0.0063433973,-0.0075535583,-0.019112905,0.0014870396,0.003060617,-0.0070650047,0.0014952997,-0.0004304469,-0.0053260475,-0.013163039,-0.016169345,-0.0033262363,-0.0030865385,-0.012950976,-0.006630592,0.0016777187,-0.062170267,-0.028858026,0.022231754,-0.0013087477,-0.003942372,0.018699594,0.019910095,-0.0003354332,-0.00095031195,0.0101234,0.0044156294,-0.0033131149,-0.008940591,-0.003937409,0.006034877,0.0066157132,0.003480008,0.0020082693,0.005715072,4.775512e-05,-0.0032825721,0.0009842834,-0.00081980374,0.005939971,0.0021136615
7,-579.0679,122.14278,5.3527355,1.9053469,0.92475086,-8.452951,-27.836742,-13.824071,-5.7445226,-18.308384,-8.566376,-4.3419495,-10.04475,-7.505379,-5.6978188,-5.430119,-2.9434242,-5.809006,-5.899393,-4.575346,-4.7076397,-3.6049628,-6.401493,-5.4718766,-2.074636,-0.17812695,-0.11553632,0.054732285,0.052069988,0.01919283,0.028579907,0.018762834,0.017571071,0.037120182,0.02496298,-0.00774006,-0.023950832,-0.0052164914,0.011626498,0.015422521,0.015523635,0.0075519406,0.016787332,0.0020823416,-0.010612983,0.008449521,-0.0037910927,-0.015711356,-0.009316485,-0.0070656775,-0.06681204,-0.030323444,0.03366962,0.011833829,-0.0020981473,0.011384348,0.0049721124,-0.0013303796,0.0018951293,0.0024009664,0.009484764,0.0016612756,0.0011082882,0.0039994614,0.0019245254,0.008317001,0.0040405714,0.012411843,0.008842374,0.0014502013,0.009686349,-0.00033788994,0.00055601815,0.0067586987,-0.0007387666
8,-614.9089,121.45243,8.128972,3.1849468,-7.3615603,-9.295206,-20.046383,-8.980706,-6.0194006,-15.688202,-7.671153,-3.868306,-7.908937,-5.7865386,-4.0480795,-4.6300716,-2.7788756,-5.813339,-5.223771,-3.6608746,-5.4416637,-5.193965,-5.3698044,-3.5474434,-1.9357809,0.027462292,-0.010019458,-0.041498344,-0.0056320573,0.0067357887,0.002182863,-0.00524541,-0.010320388,-0.0042527528,-0.008804403,0.0028244802,0.019560978,-0.000120251476,-0.0027449888,0.014683329,0.0043510874,0.0043719495,0.014244042,0.00269434,-0.0037715442,-0.0070283515,-0.0028625433,0.0071988925,-0.006206901,-0.0028519856,-0.03891367,0.001515665,0.025643809,-0.009242105,0.0024513088,0.0017449465,-0.0026924757,0.008046573,0.00628172,0.0012139576,-0.0040916917,0.0017061614,0.0044502732,-0.0006905372,-0.0005563519,-0.0051177624,-0.005298798,0.0005645797,0.0011325751,-0.0009484081,-0.00018521138,0.0013214216,0.0015482582,0.0047113816,0.003945729
9,-540.0113,115.16001,-14.65294,-4.3815293,-3.2362084,-14.520186,-25.52428,-10.748389,-6.103954,-13.424402,-6.36993,-5.6798773,-7.9034157,-6.5995574,-7.2831383,-4.610372,-1.5710663,-7.494418,-7.3749537,-4.5478883,-5.9282427,-4.898281,-6.5497446,-4.0171113,-0.76886857,-0.026541436,-0.008564318,0.01522333,0.0023107256,0.0015052207,0.00056154234,-0.003832854,0.0004976967,0.0030148046,-0.00047226303,-0.005889014,-0.002612707,-0.002128814,-0.0009683523,0.0012689488,-2.6065632e-05,0.00043935204,0.0026986918,0.0029011748,0.0010515997,0.0022024093,0.0009396633,0.005258363,0.007359674,0.0014540773,-0.019201366,-0.0027321302,0.010914742,-0.00086455554,-0.0045838323,-0.00040353736,0.0076055466,0.0018046036,0.0011849662,0.0015882124,-0.002639782,0.002006525,0.00018568336,-0.00068644097,0.001802159,-0.0004428885,-0.0008153863,0.0006290185,0.00052533596,0.0002909989,0.0020450475,0.0031069056,0.0057647056,0.0025912274,-0.00049364864
