,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0,0.09446492,-14.58108,28.981085,0.044474605,-0.022920175,0.044607934,31.160284,6.510605,-12.275811,-12.842678,24.250916,0.0,0.0,-0.557169,-4.3901405,36.404003,852.47217,1453.8009,23.29049,1946.142,1072.2098,-0.7758687,3108.0188,1445.3691,-13.472899
1,0.1623147,-15.172478,30.534117,0.115448184,-0.008191968,0.031158017,34.42419,1.8259006,-4.094059,-9.1338625,36.040203,0.0,0.0,-0.042073924,18.014925,43.569912,715.8076,1411.6631,-11.2667265,1622.7147,1031.3357,-17.407078,2801.034,759.86035,-36.172977
2,0.07084475,-16.927702,25.506556,0.098589085,-0.02654843,0.026067266,28.097235,6.2975526,13.454849,-14.803154,20.079079,0.0,0.0,-1.9422816,-10.632326,4.3087025,951.4914,1199.027,-0.064193405,2283.5293,718.24335,0.7169318,2700.7966,2248.4482,4.694613
3,0.07649044,-16.639582,27.750687,0.093347095,-0.02359848,0.030413354,33.159435,5.0804834,0.06513723,-9.670986,38.03142,0.0,0.0,8.049133,8.636136,28.66478,852.2692,1382.3507,-1.0009564,1890.4943,1178.8549,-15.425545,2797.286,1133.2794,-21.0296
4,0.3068616,-8.324787,13.849982,0.12395749,-0.040804952,0.031268563,12.47773,-14.908161,3.857186,-32.87807,37.272785,0.0,0.0,3.1892664,7.8766284,14.514918,703.37354,1712.6581,-5.616637,1727.337,682.60156,-7.935866,2656.6335,1712.6674,0.8416564
5,0.15431194,-2.1921473,18.344023,0.10980308,-0.0018497981,0.03540032,28.079538,-24.641832,-13.621804,-16.78321,38.21464,0.0,0.0,-6.5591216,-5.088639,14.899793,656.4529,1320.127,9.283238,1570.8177,981.0554,9.300415,2720.5364,1391.0848,-12.346332
6,0.1440616,-4.8792844,14.096454,0.119068764,-0.008423175,0.009688938,26.966036,-16.602133,-15.840622,-10.087547,0.0,0.0,0.0,0.0,0.0,0.0,906.13965,1531.2393,-201.0,1774.0043,1391.2769,-132.7732,3012.8953,896.9148,-137.02237
7,0.30057344,-10.993614,27.287048,0.1722581,-0.02134222,0.05963924,31.984915,-26.933882,-18.798925,-49.1376,37.167225,0.0,5.2203407,4.4516077,-11.647662,19.06714,435.77963,1571.0293,6.8699245,1460.8662,984.87933,2.9826982,2906.0352,558.89874,-12.197216
8,0.04728731,-20.011835,35.332783,0.09809032,-0.018234072,0.005071924,35.31958,10.793446,-1.7761507,-5.152001,0.0,0.0,0.0,0.0,0.0,0.0,973.4363,1249.9796,-201.0,2126.5173,1517.067,-201.0,2936.716,979.81055,-201.0
9,0.2506182,-9.396012,19.53398,0.14223279,-0.014373187,0.03749151,15.393252,-2.110872,-1.7505903,-10.419877,35.605,0.0,0.0,2.4091818,-15.001277,0.41217804,318.1969,1275.4786,0.0,1347.4664,799.3382,0.24781291,2413.4197,682.3418,7.08538
