,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
0,34.421104,0.09624459,33.776237,35.192833,36.307495,2.5312576,315.23978,420.8161,63.42445,73.18391,0.24857627,0.87706727,0.06921697,0.1927144,0.36617428,0.2969573,3.7557657,2.8478546,2.9277482,2.449305,0.026273796,2.4823706,0.9430514,0.9777627,8.704662,0.610131,4.932651,1.7173469,28.597033,0.3138499,668.9403,0.29525918,1390.5944,0.17427327,-91.80937,-1.0589391,1642.6862,0.16056657,-93.46749,-0.9622678,2759.8992,0.09485356,-99.230545,-0.85541064,-15.1193695,-0.42817116,27.344126,0.3078142,0.13342287,0.19938436,-0.024911711,-0.5032986,-4.61889,11.843594,0.07863369,-0.009407748,2.435724,1.9687712,0.2813793,0.25454116,0.20724137,0.20936516
1,32.381176,0.13058645,29.918232,33.498207,35.527084,5.6088524,281.22165,233.35829,58.85939,57.065907,0.29432765,0.8035905,0.100487575,0.22224675,0.47223422,0.37174666,4.462726,3.2001615,2.6682549,1.7618221,0.02841036,1.8301837,1.0435519,0.86493146,7.006826,0.7624925,2.2204015,4.760099,23.845602,0.47896776,684.5573,0.30841205,1311.7861,0.18593432,-61.97136,-1.493889,1752.9752,0.17939827,-68.62523,-1.2236246,2790.8389,0.09622531,-73.23,-1.1048007,-17.561453,-0.5817373,28.222889,0.41997528,0.11095752,0.41148198,-0.029601585,-0.4797939,-7.2379246,14.027125,0.08024559,-0.013285942,2.2878933,1.6283525,0.42470586,0.429639,0.19066668,0.18656425
2,34.687214,0.079452366,33.571968,34.98572,36.452377,2.8804092,228.49867,370.103,46.77586,41.736393,0.25359777,1.0382075,0.052708216,0.18265879,0.39715,0.3444418,3.4658277,1.98348,3.1590145,2.2998307,0.0195933,2.2103977,0.99826866,1.0678048,8.872367,0.5336252,2.1663623,3.755904,24.56286,0.50550115,701.7769,0.32718107,1418.0653,0.1718489,-87.78865,-1.1365318,1673.005,0.16854385,-83.90673,-1.107285,2812.7773,0.09633999,-90.33984,-0.9728097,-12.028507,-0.6452017,25.537523,0.35410887,0.13016413,0.19735366,-0.021860475,-0.7568809,-11.177561,19.401312,0.089728355,-0.019555455,2.2867196,1.590106,0.3683333,0.2727687,0.25411764,0.29088217
3,37.092667,0.08899638,35.032417,37.140213,39.781254,4.7488365,130.32942,109.319786,52.293774,75.81647,0.18302149,1.0123099,0.038935807,0.13045296,0.2770412,0.23810539,3.0028374,2.2836087,2.4135253,2.0936995,0.020257633,1.9788235,0.8812198,0.990108,10.389556,0.41488054,6.9630466,1.3428513,31.504929,0.34722564,660.91144,0.3023586,1407.601,0.17529795,-100.30122,-0.97936976,1615.511,0.1654075,-94.00186,-0.9650956,2769.3318,0.09462034,-101.0226,-0.83863103,-15.782708,-0.41812283,29.528877,0.3049701,0.12646209,0.21481045,-0.02677629,-0.43573195,-12.379317,23.093563,0.09243041,-0.01878984,2.1486645,1.7482518,0.31566668,0.28775778,0.23633333,0.3180826
4,36.69032,0.09685534,34.63922,36.663578,39.03816,4.398937,178.46083,148.83034,64.0403,92.27381,0.29362294,0.91780955,0.07311647,0.21488078,0.46103454,0.38791806,4.5671873,3.4871635,3.629043,2.832071,0.023105145,2.8501565,0.8764994,0.9719101,9.747011,0.47860664,4.139078,2.0851822,23.313335,0.46118695,703.9698,0.3102339,1396.1177,0.19983687,-71.12251,-1.3308433,1685.8451,0.16152576,-68.46715,-1.248862,2749.0244,0.08451323,-73.86719,-1.107916,-12.468734,-0.56120014,23.827211,0.366819,0.1224352,0.22676957,-0.024914578,-0.5672264,-10.923424,20.215876,0.08663793,-0.01886405,2.4468513,1.7692,0.3825,0.28853962,0.18333334,0.2578345
5,35.8212,0.08334883,34.96479,36.489693,37.400303,2.4355125,209.04868,147.83702,40.82609,51.2531,0.27466425,0.85741246,0.06289821,0.21573149,0.42951438,0.36661616,3.980736,2.5202281,3.4749603,3.0308895,0.019519338,2.4134293,0.87370497,1.0792068,9.673505,0.5128072,4.9575033,1.8079069,22.471281,0.44995704,630.48145,0.37065178,1406.772,0.19247082,-83.203,-1.1749783,1595.8657,0.16402015,-73.101585,-1.2167941,2702.1064,0.0863049,-77.616066,-1.1034988,-12.180926,-0.50286734,22.750927,0.34679884,0.13662022,0.18347289,-0.021119492,-0.6531784,-10.443722,19.632662,0.09734977,-0.016377702,2.9539533,1.8372705,0.35095236,0.2446164,0.20166665,0.22915909
6,36.550644,0.10060291,34.800293,36.55263,39.52642,4.7261276,163.97246,139.98904,34.905506,36.53816,0.3041715,0.9018056,0.08993367,0.21474676,0.49511844,0.40518478,4.3383574,2.6830394,4.0348988,2.756283,0.020089068,2.3533208,0.9114969,0.98118436,9.037678,0.5408587,4.266117,2.7865758,19.702719,0.8005908,600.1972,0.38300663,1325.0905,0.21116737,-89.887215,-1.0752826,1635.5176,0.1713639,-76.84595,-1.1537396,2734.6548,0.09756214,-80.26514,-1.0715408,-11.882967,-0.59477085,22.19058,0.3556563,0.11937966,0.31500357,-0.02572513,-0.61054885,-7.1106877,15.020382,0.07959767,-0.014398539,2.598367,1.715138,0.37,0.23132886,0.21095237,0.19197977
7,34.747356,0.09729392,33.959366,35.09535,36.17639,2.2170258,244.42294,178.80367,143.98015,346.295,0.24306975,1.0586165,0.055867523,0.15456268,0.38251936,0.32665184,4.4757876,3.3739393,3.1351132,2.3937585,0.03487191,2.151172,1.0637285,0.8364992,8.105128,0.560696,4.580538,2.220515,23.888855,0.5319278,694.7156,0.28342035,1351.045,0.20649919,-83.73331,-1.1397903,1756.1304,0.15584981,-84.2527,-1.0422095,2808.3167,0.07635719,-86.75006,-0.98999226,-14.687241,-0.453274,23.944954,0.36666128,0.13640134,0.21197665,-0.027909234,-0.43290192,-12.312102,20.48514,0.08460174,-0.020081695,2.3090587,2.3214285,0.25846153,0.23952985,0.15879999,0.20539367
8,35.075687,0.09482614,33.422947,34.943832,36.53078,3.1078339,266.84708,195.9272,34.789146,29.67714,0.19038615,1.0337048,0.037911505,0.11652151,0.30915898,0.27124748,2.7764602,1.5442404,2.373719,2.0301106,0.0218522,2.525999,0.85337317,0.96001387,9.394509,0.44692007,4.3418317,2.003155,25.96921,0.43768507,701.8096,0.2985886,1364.9333,0.19030225,-113.276665,-0.857383,1685.9854,0.1511961,-113.70137,-0.8011581,2802.282,0.07449876,-116.92862,-0.7496858,-14.380199,-0.5029347,25.08178,0.3934314,0.13112761,0.23287417,-0.026463745,-0.5039961,-9.286541,18.373446,0.085761115,-0.016086506,2.077922,1.8252934,0.24249999,0.16646802,0.29185185,0.3714739
9,38.493435,0.095941976,36.300774,38.321236,40.98449,4.683716,208.58905,271.48083,58.89368,99.95411,0.36122558,0.94547224,0.06892797,0.25161055,0.609086,0.54015803,5.920032,3.1866696,4.6605334,2.965487,0.019980332,2.2907848,0.95452106,0.9341997,9.308421,0.5256348,4.4611163,2.624103,19.433392,0.61812556,678.3054,0.3816687,1358.185,0.22728832,-86.54009,-1.1179289,1693.32,0.1624505,-73.30464,-1.181908,2731.569,0.092058875,-76.39496,-1.1055211,-10.835995,-0.68548656,20.938711,0.386972,0.11563009,0.30998778,-0.022800533,-0.74368864,-8.934708,17.078466,0.07898673,-0.015892172,2.9184039,1.947923,0.33418363,0.25978372,0.17,0.22449943
