,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12
0,-414.01816,170.30139,-44.29925,2.8848436,-17.458796,-7.178707,-23.225641,-11.728618,-6.2917104,-20.19402,-0.814042,-7.526046,-9.464102,-0.003795839,-0.0043852227,-0.0067769876,-0.004594462,0.007461961,0.004960404,-0.00033478806,-0.0032495523,-0.005623909,0.00151894,0.0048381183,6.232983e-05,-7.792035e-05,-0.0031685876,-0.0029590137,0.00019298408,-0.003018792,-0.0002519184,0.0011886476,0.00035185472,0.0024310304,0.0020360032,0.0034530836,0.0029285273,0.0022700285,0.001241788
1,-403.44876,175.76578,-42.028652,-1.0250342,-11.625436,-7.089067,-23.218666,-14.850579,-3.9357216,-20.135876,-4.011385,-6.042132,-10.010744,0.01066576,0.010584065,-0.0063514556,-0.0031092493,0.0059932,-0.0034234228,-0.0004803151,-0.0023849418,-0.00034052512,0.0058956547,0.00015316706,0.002017913,0.00039272706,-0.0044752993,-0.0011779928,0.003836358,0.00056741526,0.0010810568,0.0011172447,-0.002829387,-0.0006536957,0.0014518388,0.003783994,0.004165187,0.0023717468,0.0004526835
2,-409.86185,174.45647,-46.06875,-6.041802,-12.453536,-8.259592,-23.748062,-13.878106,-4.158163,-21.03197,-3.2120762,-4.162135,-8.9408655,0.017453838,0.0047260327,0.00082508096,0.005892089,-0.0011860894,0.00688085,-0.001768742,-0.00793454,-0.0015202785,-0.003025878,-0.0021666207,0.0011649469,0.002133407,-0.0022667886,-0.0016652206,-0.0024320737,-0.0018713024,-0.0015576237,-0.0027005007,0.0022280344,0.0020900723,-0.0011138242,-5.6954024e-05,-0.0003854391,0.0011614983,0.0020108118
3,-416.5353,179.69928,-53.59841,4.174661,-18.032694,-6.268158,-26.23488,-7.6389503,-4.490555,-20.39203,1.5555857,-5.842172,-7.8915863,0.011608706,0.0014793418,-0.0015846251,-0.0022407137,-0.0011597985,-4.8422364e-05,0.0023966713,0.0019702765,-0.0026412325,-0.006269309,-0.006443483,0.0011224013,0.002403995,-0.00256315,-0.0031270443,0.000698752,-0.0017253215,0.0011885219,-0.0016631265,0.0007231102,-0.0004481341,0.00011042588,0.0012292281,0.0002850141,0.0026740022,0.0010989901
4,-410.861,172.38747,-44.33967,-5.4011674,-11.4672,-8.119421,-24.23277,-14.393635,-4.671265,-20.556454,-1.9923879,-4.228919,-9.5579605,-0.008723285,0.0031745431,0.0076305517,-0.0015577377,0.0029382897,0.004822444,0.00088856625,-0.0023901965,0.0012460727,-0.0017736801,-0.002574566,-0.0005294084,-0.0039006353,-0.0057096435,-0.0022255501,0.0035875433,0.00063900213,-0.0011930484,0.00084353186,0.0017082896,0.0025062226,0.00061456807,-0.0017286809,0.0014878528,0.0016478996,-0.00019386037
5,-423.02338,178.32115,-53.217815,6.0662203,-21.05073,-2.4821746,-27.02062,-11.125528,-6.0654817,-20.783083,-1.020765,-7.6089907,-7.8513265,-0.0012639605,0.00075884763,-0.009428124,0.00421051,0.005401972,0.0009961461,0.009709754,-0.0019726893,0.006945455,0.0012726729,-0.003118319,0.0025805598,-0.0071117296,-0.0033744774,-0.006115056,-0.0010246008,0.0008566566,-0.00013995546,-0.0013242756,-0.0022388203,-0.003681745,-0.0019313364,-3.5166962e-05,0.00067693024,-0.00027344262,-0.00333944
6,-404.14304,177.16887,-48.195667,-3.9393034,-10.589955,-4.9842815,-26.20148,-13.811246,-3.5688717,-22.0992,-2.687191,-3.1821263,-8.72657,0.011101524,0.011449336,0.0036639776,-0.0024303054,0.00032861,0.0019535094,0.001061497,-0.0018075153,-0.006302575,-0.0038073612,-0.0069104363,-0.00027366306,0.0026092716,-0.00619279,-0.0073607503,-0.0023210144,-0.00062553154,-0.00091963523,0.0021877035,0.002307732,-6.62666e-05,0.00042790885,0.002019031,0.0015669412,0.0026927525,0.0017317034
7,-412.25662,178.53679,-50.123123,-0.8305232,-14.416029,-5.1660028,-26.321854,-13.366864,-4.0739756,-22.057434,-2.405055,-5.1223893,-8.77115,-0.008616921,-0.0049393866,-0.0038283917,0.006865823,0.0061577605,-0.004853263,-0.0001790113,-0.0034049912,-0.0057027363,-0.004492474,-0.00019591623,0.004533721,0.0010245893,-0.014647924,-0.0071901605,0.008006328,0.005848153,0.0054385555,0.0057525123,0.0050570383,-0.0017231498,0.00029191107,0.004576205,0.00018048106,-0.002937925,-0.004038594
8,-419.6135,185.77171,-51.346973,6.9709287,-11.425643,-3.708021,-24.750341,-9.396993,-1.8243722,-16.61353,1.9051254,-1.9183725,-5.2001176,-0.0027498929,-0.006732485,-0.00060692296,0.002649312,-0.0025004344,0.00013113154,0.0051715965,0.0033765691,-0.0021721902,0.00018954228,-0.002554151,0.00011822014,0.0020516312,-0.0018007954,-0.0008235692,-0.0005055389,0.0001738667,0.0019426101,0.00066135096,-0.0016151433,-0.0012900047,0.0025574598,0.0013947177,0.00048600323,0.0008295427,0.0007985941
9,-402.96735,177.0601,-49.363262,-2.4698672,-11.528977,-8.090935,-24.931198,-12.098263,-2.804062,-18.976887,-1.1813654,-4.132546,-8.402431,0.00049512787,-0.0011233474,0.0020928215,0.0019837238,-0.0011489097,0.0013825158,0.00058563356,3.698423e-05,-0.00076025375,-0.0017033808,-0.00067082344,0.00012696881,-0.00033791558,-0.003228246,-0.0002585325,0.0012606739,-0.0009680758,-0.00038142846,-0.00083540374,-2.645197e-05,-5.607223e-05,0.00029130068,0.001419888,0.00028698615,0.0005911461,0.00016030077
