,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta1_0,mfcc_delta1_1,mfcc_delta1_2,mfcc_delta1_3,mfcc_delta1_4,mfcc_delta1_5,mfcc_delta1_6,mfcc_delta1_7,mfcc_delta1_8,mfcc_delta1_9,mfcc_delta1_10,mfcc_delta1_11,mfcc_delta1_12
0,-414.04163,170.05284,-44.28806,2.8186567,-17.212908,-7.2492604,-23.299381,-11.751917,-6.3269362,-20.274364,-0.8241406,-7.6030927,-9.368867,-0.0021532387,-0.0051363595,-0.0033670964,-0.002132143,0.0031651175,0.006310611,-0.0008781969,-0.0035996092,-0.006576086,-0.00020272916,0.0044342624,-0.0009526097,0.0014059026
1,-404.9211,174.32416,-47.395462,-2.5858262,-11.647084,-11.185977,-23.234056,-9.568897,-3.3369474,-19.455006,-0.44288707,-3.219473,-8.365814,0.01362501,-0.0014073045,-0.00529318,0.0031100807,0.00014938085,0.0017867249,-0.001784136,0.0010111047,-0.0066331895,-0.00945367,-0.0022720108,0.0026582286,0.001428226
2,-421.39822,180.13579,-52.897575,1.287973,-17.491518,-4.0733223,-26.41107,-11.878066,-5.349276,-21.92161,-0.6703287,-6.425015,-9.014795,0.0011066176,0.009008445,-0.0038185308,-0.0045321756,-0.00084578677,0.0018971675,0.0026103829,0.00053349696,0.0032530525,-0.0015416569,-0.00080258964,0.0019299248,0.00031885234
3,-406.272,173.42627,-45.04759,-6.5328684,-10.707495,-8.2210245,-24.61372,-14.198612,-4.490995,-21.23025,-2.3039215,-3.972385,-9.739071,0.0017709138,-0.00019162452,0.0027510657,-0.0005049486,-0.0011463861,0.0051031485,0.002250664,0.0043058116,0.001618809,-0.0015094369,-0.00061749533,-0.00023045873,-0.0006154487
4,-414.9706,183.5441,-54.353554,2.516605,-19.092443,-2.51309,-27.990507,-11.731023,-4.9319515,-22.180584,-2.679872,-6.133412,-7.6418905,0.002066252,0.0002724737,-0.004912308,-0.0004179397,-0.003062778,-0.008112394,-0.0010112617,-0.006294239,-0.004098841,-0.0029025462,-0.004624982,-0.0014939505,-0.001384559
5,-409.36496,168.49608,-47.14349,0.40225494,-15.217573,-8.078374,-24.646957,-10.649069,-5.740519,-20.796904,0.52400446,-6.6235194,-9.167744,-0.00090749294,-0.0007405181,0.0006468929,0.0058435164,-0.0012926706,0.00036351697,0.008377414,-0.0047189044,-0.0036044572,0.003336731,-0.0023557022,-0.00049520866,0.0024504832
6,-420.2772,172.96346,-48.09561,2.0686486,-15.396071,-5.639527,-24.63476,-13.117136,-5.658428,-21.268944,-0.83843917,-6.290451,-9.227179,0.0018465278,-0.010634014,-0.010345011,0.0028230655,0.0067076064,0.0043732473,-0.0025962652,-0.0064872457,0.0044922065,0.009652582,-0.0027049442,-0.0024354402,-0.009487043
7,-419.423,182.09364,-54.087955,3.9174871,-16.938484,-2.1144292,-27.064314,-12.637427,-4.713213,-21.16767,-1.9722587,-5.3024254,-7.272064,0.00062802323,0.0012413645,-0.008753739,0.0018396993,0.0011531748,-0.00547939,-0.0021496671,-0.005047203,-0.0029316163,-0.002220085,-6.19244e-05,0.0006787043,-0.00058321323
8,-402.96735,177.0601,-49.363262,-2.4698675,-11.528977,-8.090935,-24.931198,-12.098263,-2.804062,-18.976887,-1.1813654,-4.132546,-8.402431,0.00049512746,-0.001123349,0.0020928213,0.0019837245,-0.0011489105,0.0013825154,0.00058563414,3.6983223e-05,-0.000760254,-0.00170338,-0.0006708234,0.00012696881,-0.00033791532
9,-417.8947,173.74643,-51.35902,6.549662,-17.943419,-4.672938,-26.341932,-11.0766535,-6.1673365,-20.917526,-0.24070215,-8.640254,-8.222017,-0.004552355,0.000737605,0.0006570897,0.0022218004,-0.0004887725,0.0044399346,-0.0013499188,0.00430027,0.005594106,0.0024539402,-0.0029100708,-0.0037868586,-0.0041247504
