,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,-414.04163,170.05284,-44.28806,2.8186567,-17.212908,-7.2492604,-23.299381,-11.751917,-6.3269362,-20.274364,-0.8241406,-7.6030927,-9.368867
1,-404.9211,174.32416,-47.395462,-2.5858262,-11.647084,-11.185977,-23.234056,-9.568897,-3.3369474,-19.455006,-0.44288707,-3.219473,-8.365814
2,-421.39822,180.13579,-52.897575,1.287973,-17.491518,-4.0733223,-26.41107,-11.878066,-5.349276,-21.92161,-0.6703287,-6.425015,-9.014795
3,-406.272,173.42627,-45.04759,-6.5328684,-10.707495,-8.2210245,-24.61372,-14.198612,-4.490995,-21.23025,-2.3039215,-3.972385,-9.739071
4,-414.9706,183.5441,-54.353554,2.516605,-19.092443,-2.51309,-27.990507,-11.731023,-4.9319515,-22.180584,-2.679872,-6.133412,-7.6418905
5,-409.36496,168.49608,-47.14349,0.40225494,-15.217573,-8.078374,-24.646957,-10.649069,-5.740519,-20.796904,0.52400446,-6.6235194,-9.167744
6,-420.2772,172.96346,-48.09561,2.0686486,-15.396071,-5.639527,-24.63476,-13.117136,-5.658428,-21.268944,-0.83843917,-6.290451,-9.227179
7,-419.423,182.09364,-54.087955,3.9174871,-16.938484,-2.1144292,-27.064314,-12.637427,-4.713213,-21.16767,-1.9722587,-5.3024254,-7.272064
8,-402.96735,177.0601,-49.363262,-2.4698675,-11.528977,-8.090935,-24.931198,-12.098263,-2.804062,-18.976887,-1.1813654,-4.132546,-8.402431
9,-417.8947,173.74643,-51.35902,6.549662,-17.943419,-4.672938,-26.341932,-11.0766535,-6.1673365,-20.917526,-0.24070215,-8.640254,-8.222017
10,-405.86722,173.14867,-40.634613,-7.664817,-7.553957,-8.115372,-23.325825,-15.040363,-3.1276855,-19.909624,-4.307331,-2.8070385,-9.727956
11,-399.9441,167.72769,-39.599194,-8.247195,-8.096518,-10.816106,-23.868889,-14.9314575,-5.114229,-20.594185,-3.924797,-3.7289715,-10.724949
12,-415.86346,182.69656,-47.193275,4.9310846,-14.393107,-2.4743896,-25.090841,-11.570195,-3.4956903,-18.31456,-1.0206773,-4.045544,-6.534567
13,-417.19104,174.77025,-49.238895,-0.995037,-16.010302,-6.9229083,-24.293123,-12.726138,-4.1979685,-20.544857,-1.5870605,-5.6878824,-8.68171
14,-425.11142,192.42361,-55.96881,8.160552,-16.395674,0.16942477,-28.937069,-9.015399,-3.5673008,-17.699932,0.6297523,-3.907693,-5.4380054
15,-411.3203,181.9284,-48.62398,1.9717041,-10.25478,-7.03003,-24.846594,-10.222861,-1.7087475,-17.741987,0.32106286,-2.8467932,-6.8284135
16,-413.0681,166.40959,-42.596054,-4.9545436,-14.596229,-11.006705,-21.916458,-11.761974,-5.2244415,-19.751192,0.010146525,-5.185512,-9.72485
17,-418.3587,178.8906,-52.13365,0.40260935,-18.957802,-4.2575736,-24.978128,-11.183357,-5.166934,-21.481201,-0.90763336,-6.146983,-7.9569554
18,-422.6507,182.59167,-52.213814,7.3656297,-18.204716,0.60892576,-25.464771,-6.9654064,-4.601657,-16.04042,0.6647867,-3.1180863,-6.334184
19,-409.3905,164.91734,-41.389458,-1.1491908,-11.827648,-7.985062,-19.915295,-10.581989,-4.7548423,-17.107944,0.8340405,-5.1965723,-8.244204
20,-408.14227,179.44415,-44.847225,2.863463,-15.136331,-4.7640653,-23.164146,-9.71949,-4.192157,-18.39106,-0.45464942,-4.6179047,-6.8228054
21,-433.7088,178.25156,-51.34566,10.60939,-20.404312,2.1107776,-24.23091,-5.770231,-6.10827,-15.391934,0.905095,-4.4203305,-7.7795053
22,-389.4877,165.62563,-31.681953,-7.748388,-4.2176285,-11.015929,-19.687174,-12.456347,-4.901175,-16.041681,-3.0502222,-1.826723,-9.193641
23,-409.35114,180.6813,-46.94716,3.99905,-10.820256,-4.559471,-22.933126,-9.069738,-1.414363,-17.112028,0.13077684,-1.5329841,-5.1324844
24,-416.52722,177.41478,-48.43331,7.139837,-17.35306,-1.6122974,-24.12733,-11.081122,-5.95668,-18.853678,-0.90484506,-6.5300174,-7.1227207
25,-415.14337,184.58913,-51.771824,4.1083302,-17.83242,0.40186244,-26.860039,-11.090436,-5.8744535,-19.841698,-2.0605419,-5.3750825,-7.4717937
26,-415.25925,173.79575,-46.04628,2.76679,-16.292028,-3.6135266,-22.528952,-11.586401,-4.8161106,-18.817368,-0.90695506,-5.9800572,-7.835505
27,-418.5757,184.40561,-49.799065,5.8561397,-12.080447,-2.4169996,-24.465569,-8.412592,-1.8293855,-14.669245,2.1885633,-1.7395277,-4.971269
28,-406.47363,172.27225,-42.00859,-7.235726,-9.493833,-6.19109,-23.337034,-15.2345,-3.5614722,-19.72537,-3.3164146,-2.2920258,-8.206058
29,-425.41586,178.335,-51.20093,8.587548,-21.20604,0.7888579,-25.327856,-6.831171,-6.4901924,-16.273123,0.36227816,-4.594171,-6.8468537
30,-409.98135,171.15094,-46.334198,4.6858215,-15.767933,-5.008762,-20.801752,-8.692585,-5.778507,-18.788443,0.7393049,-7.118881,-7.939413
31,-405.3594,178.41367,-48.66059,8.616139,-18.39794,-3.0914497,-24.25766,-7.1598406,-4.647103,-19.06535,0.6667415,-7.3735933,-8.464803
32,-420.58664,186.99254,-54.727135,4.1355014,-15.949161,1.804826,-26.01125,-9.025777,-3.883327,-18.275919,-1.331659,-2.8299298,-6.502392
33,-400.19763,160.65503,-29.388254,-6.143847,-3.0383987,-6.2630043,-15.230243,-11.200123,-3.1187882,-13.642558,-0.55084485,-2.6866972,-9.57992
34,-382.32303,149.24515,-21.834053,-18.691523,0.28671467,-11.428955,-20.608261,-12.443929,-7.457241,-14.404643,-5.3620343,-2.0522609,-8.866916
35,-400.2506,171.42834,-39.905792,-3.7433693,-8.388084,-6.461628,-20.750381,-12.799332,-3.6933856,-17.380661,-1.9267988,-3.1432989,-7.508308
36,-415.38632,186.02258,-50.99654,6.813574,-15.426888,1.5717021,-25.64088,-8.562233,-4.2092967,-16.44616,0.33424556,-3.6928585,-5.2775517
37,-406.94412,180.67604,-50.085377,4.046664,-17.208696,-3.6978226,-23.754684,-6.459248,-4.050993,-17.960117,1.9342724,-4.40487,-5.602748
38,-401.7686,168.64157,-34.8361,-7.1667266,-5.504209,-7.9643703,-19.342585,-12.075812,-3.6893377,-17.078108,-1.8510457,-2.1271722,-8.731701
39,-428.15247,183.26268,-52.574383,2.6915357,-17.431862,1.5017699,-27.211761,-9.52682,-4.322488,-18.412361,-2.2625995,-4.264478,-7.673832
40,-396.92212,173.31865,-37.462578,-5.756266,-3.276378,-9.372156,-20.206326,-10.485973,-3.0255644,-15.205568,-1.5692465,-1.2997793,-7.4589944
41,-393.82016,159.00298,-28.886608,-9.000519,-4.8844247,-11.419781,-18.344185,-10.55132,-6.882132,-16.73144,-0.3900388,-3.946419,-10.828674
42,-399.34738,165.56448,-33.925617,-6.661362,-7.8835444,-9.4111395,-18.075758,-11.21125,-5.6043253,-17.956522,-0.8865371,-4.605239,-10.988786
43,-414.1488,180.98598,-45.139084,0.46781385,-11.025401,-1.3008723,-22.92823,-12.129767,-3.524838,-18.048983,-1.2257475,-3.6975799,-6.4599056
44,-406.16843,164.53368,-40.109665,-2.819892,-9.386573,-7.3169413,-18.132006,-10.440429,-3.5398252,-16.507715,0.64011705,-4.2910233,-8.498148
45,-404.22827,174.43028,-40.734665,-5.90677,-9.430897,-7.4143195,-21.903774,-13.627825,-3.068794,-19.059462,-3.1456463,-3.1870172,-8.822149
46,-417.1619,170.32089,-47.46323,3.6231084,-17.08282,-3.1593845,-23.088993,-11.56552,-5.989074,-18.410397,-0.04805581,-6.7761693,-8.517645
47,-423.74396,184.41876,-52.02927,7.3274364,-16.926392,1.1578382,-26.798985,-8.852173,-5.134612,-16.393562,-1.2184836,-2.7809348,-6.789048
48,-424.67084,177.05406,-51.585884,7.901687,-21.571985,-0.30398524,-24.741316,-7.5181775,-7.251002,-16.974064,0.95634425,-5.9199257,-7.3016477
49,-405.85968,172.72455,-40.084454,-3.9088972,-11.606838,-10.729042,-21.04381,-10.230737,-3.0923426,-17.529015,-0.23531981,-3.7362294,-8.67232
50,-405.15158,177.29453,-38.722713,-6.6730995,-8.304241,-5.72247,-22.87795,-14.332409,-3.977739,-20.57179,-4.122394,-3.5996346,-9.46169
51,-412.2857,173.84209,-42.56627,4.108556,-14.434949,-5.5310826,-22.104609,-12.130204,-5.6348095,-20.263756,-1.7419263,-7.045762,-8.292818
52,-431.96945,189.66292,-64.45613,10.031331,-24.99949,4.2100077,-31.750721,-7.5991282,-6.7042193,-18.387142,-1.695026,-5.2469673,-6.688307
53,-417.24774,174.9427,-43.356785,-1.7153982,-8.686079,-3.374044,-20.913136,-11.200762,-1.0903928,-17.701376,0.15503484,-2.446168,-7.6281214
54,-428.29538,191.287,-59.281956,13.645837,-20.16063,5.0925,-29.681248,-4.9632244,-7.4270377,-14.147616,-1.0024155,-1.5899405,-6.9256806
55,-425.083,185.64194,-58.947773,11.003037,-22.98478,4.1524506,-29.346844,-8.09082,-7.8668203,-18.309715,-2.5280964,-5.026775,-7.328987
56,-421.48462,191.58084,-63.399704,10.744048,-21.215563,6.1625814,-30.812563,-7.5125895,-7.260801,-18.03613,-3.855163,-3.724685,-8.130705
57,-425.79385,182.66687,-58.02167,11.04149,-21.335432,0.58091646,-27.603592,-5.406665,-6.3908796,-17.036312,1.5276917,-4.942038,-6.5406604
58,-420.76257,189.28719,-60.094128,10.982352,-19.428457,0.9663131,-29.344843,-5.1224546,-5.800388,-16.260788,0.7689659,-2.8203337,-5.7993164
59,-428.7622,181.64429,-58.657528,11.543159,-23.060701,3.0052357,-27.956375,-7.054397,-8.438569,-17.679218,-0.6544097,-6.2140503,-7.5167847
60,-428.27505,184.97221,-61.147717,11.615526,-24.348707,5.30366,-30.17713,-5.4825983,-8.768958,-17.004225,-1.5311366,-4.5890713,-8.170582
61,-425.89764,189.1592,-60.458786,11.151573,-22.521566,5.4669356,-29.977331,-6.7595143,-7.2447143,-17.118975,-2.836795,-3.920741,-7.248148
62,-401.44458,164.09747,-35.183807,-7.9465895,-2.2133121,-11.207495,-18.605652,-9.879177,-3.668793,-15.823678,-0.7926203,-1.2148386,-8.757999
63,-428.30334,186.03008,-57.707806,11.285772,-21.871262,3.9192522,-29.384233,-7.156266,-7.27761,-16.702866,-1.6712934,-4.291052,-7.012646
64,-424.17032,184.15176,-59.197002,9.147326,-21.25703,1.9765434,-27.644417,-9.174966,-7.038158,-18.180971,-1.5926645,-6.4262376,-7.1325607
65,-429.83994,178.26054,-56.39319,12.453048,-23.8319,3.0010495,-27.22918,-8.598649,-8.46354,-17.094477,-0.7140895,-7.365471,-8.08039
66,-422.70218,183.75327,-51.318096,7.3730454,-12.310882,-2.1184964,-24.101742,-7.3603187,-1.9956897,-16.166664,2.350526,-2.0438776,-4.928182
67,-430.26154,183.58424,-59.33519,12.625233,-24.240316,4.456957,-29.711697,-6.6938276,-9.187276,-17.024265,-2.8186085,-5.3314424,-8.374539
68,-434.6672,181.58195,-57.803104,15.992829,-25.156178,4.8426857,-28.775543,-4.39358,-9.997951,-16.205639,-1.5579988,-5.2369556,-8.414071
69,-420.7485,178.64679,-49.980427,1.6808522,-14.463426,-1.827863,-24.561415,-12.346623,-4.555554,-20.280704,-1.0833017,-4.969755,-7.555067
70,-425.01505,190.34232,-61.311794,9.503886,-21.710949,6.523818,-30.240204,-6.5107427,-7.279214,-17.26203,-2.8458083,-3.3565938,-8.097814
71,-419.26044,166.68112,-46.58807,2.1669483,-14.512572,-6.234968,-21.230381,-9.978078,-5.4296575,-19.090837,1.0148427,-7.044315,-8.80013
72,-415.43005,174.18332,-44.54772,0.54132557,-13.60163,-4.208217,-22.22574,-12.780321,-4.9503813,-19.756475,-1.2392609,-6.292377,-8.822729
73,-428.56973,182.12976,-56.00491,12.726523,-24.228542,2.4515316,-28.574377,-6.6864443,-8.8470745,-18.178585,-0.77977085,-6.911244,-7.7344637
74,-425.6354,183.43425,-54.070827,7.7897663,-20.074963,1.1333517,-27.159637,-9.936234,-6.1943226,-19.161964,-0.9489489,-6.098813,-7.16061
75,-422.15652,189.23286,-60.903873,9.202857,-19.798689,3.9530613,-28.390915,-8.372126,-6.2490253,-16.924625,-1.6413494,-4.90766,-6.632243
76,-423.5858,185.21228,-57.374794,12.836748,-21.153223,1.6651496,-27.296867,-4.0265837,-5.850856,-15.909341,1.434375,-4.1384535,-5.842633
77,-432.03726,182.0368,-61.022728,15.809832,-26.89678,4.8703995,-30.254667,-2.9112208,-10.528567,-15.666388,-1.5122014,-5.3497486,-9.11484
78,-432.5367,182.47589,-61.233894,14.684141,-26.720638,3.967829,-30.756716,-2.5022755,-10.562204,-15.478189,-0.8906674,-5.388264,-9.131928
79,-430.98834,175.44804,-52.16608,8.8408165,-21.105097,-0.904958,-24.371784,-7.0435333,-6.342768,-19.178072,0.9580063,-7.2392955,-7.2281
80,-432.43335,181.04341,-58.98078,13.407275,-25.755428,3.4955606,-29.041075,-5.1267405,-8.988273,-16.274153,-0.9831404,-5.7305202,-8.048502
81,-425.69675,186.51129,-57.910152,10.730642,-21.091766,3.0518184,-28.685995,-6.5072002,-6.086069,-17.27771,-0.38855705,-4.4389105,-6.4210973
82,-427.9096,186.67679,-56.997437,11.26836,-20.254177,3.3074286,-27.727486,-5.7806664,-5.4215593,-15.944625,-0.012314193,-3.6409748,-6.104013
83,-429.52637,191.47331,-58.29768,12.843045,-20.350613,6.6506863,-29.791931,-4.9008393,-6.6793737,-13.979297,-1.4792275,-1.0394142,-6.748115
84,-418.6511,185.7438,-52.248444,2.9988601,-15.339272,0.2752335,-26.101305,-11.329247,-3.8171632,-19.869831,-1.8299867,-4.8084817,-7.092327
