,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0,0.096968465,-14.55455,29.22191,0.062096465,-0.017400851,0.048648626,32.02339,6.4727874,-11.460538,-12.445477,24.221159,0.0,0.0,-0.5568356,-4.2764263,35.379963,325.83032,1720.5123,29.029633,1182.5294,1248.8458,22.028685,2395.8567,1147.0397,-12.478496
1,0.16660441,-15.18481,31.647575,0.13635014,-0.006170726,0.035883334,35.0175,1.7470278,-3.6644766,-9.383124,36.043533,0.0,0.0,-0.0365268,18.039513,43.7097,756.07355,1357.7755,-11.728823,1622.4188,1078.0602,-17.670084,2806.864,836.04443,-36.821724
2,0.07292665,-16.91899,24.84195,0.10951803,-0.018456666,0.028692605,28.884644,6.5687766,14.274681,-14.194684,22.857355,0.0,0.0,-2.4393256,-7.0014234,20.444557,957.03253,1076.5511,-2.093833,2239.9197,552.4859,0.5611348,3391.1824,956.0313,-3.3239775
3,0.07839351,-16.61334,27.56135,0.10092804,-0.018464413,0.03318893,33.529377,4.8721294,0.22448544,-10.084323,38.038708,0.0,0.0,8.053828,8.566774,34.05747,919.832,1530.86,-8.934197,2081.902,1109.6626,-15.386933,3560.1794,2958.421,-26.3528
4,0.3136791,-8.423472,13.620384,0.12505826,-0.032777864,0.034194317,13.140498,-15.187274,4.4214106,-32.99737,32.66303,0.0,0.0,0.19154994,-18.0877,-6.6952057,897.243,1681.0873,12.940326,1740.3667,540.8234,9.630559,2797.8157,623.88403,18.038322
5,0.158029,-2.033506,18.76284,0.10635147,0.0009622452,0.038549487,28.80327,-25.004211,-12.854805,-17.035929,34.91208,0.0,0.0,-5.5301094,-3.9013207,8.332921,629.35266,1245.5292,8.084971,1529.4645,905.4607,9.657432,2791.8328,580.16254,-8.909553
6,0.1474854,-4.884127,14.165814,0.11203858,-0.0039262525,0.010774453,27.611366,-16.95728,-15.236209,-10.027341,0.0,0.0,0.0,0.0,0.0,0.0,901.5726,1489.6279,-201.0,1652.3077,1604.3275,-139.31554,3123.2356,976.67706,-143.4553
7,0.30847505,-11.016689,27.240507,0.17010356,-0.016103037,0.064427845,32.82835,-25.971384,-17.71446,-47.89802,29.062826,0.0,0.0,0.96398544,-5.4829483,14.953813,427.3695,1458.035,25.256126,1437.6385,942.07056,21.29106,2894.7627,563.05524,6.116186
8,0.048833143,-19.853643,35.012768,0.09157062,-0.013345304,0.005663531,35.045673,10.975131,-2.5616343,-4.5632453,0.0,0.0,0.0,0.0,0.0,0.0,1018.9831,1242.9054,-201.0,2246.95,1289.5055,-201.0,3082.0469,1014.4101,-201.0
9,0.25590286,-9.465013,20.223398,0.18198822,-0.010403793,0.04109862,15.847484,-2.7073615,-1.655351,-11.037129,35.701183,0.0,0.0,2.430158,-15.061234,-0.9643612,256.99368,1356.8364,0.0,1342.3776,783.85187,0.5178871,2427.7693,641.4024,7.644278
