,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_delta2_0,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12
0,-414.01816,170.30139,-44.29925,2.8848436,-17.458796,-7.178707,-23.225641,-11.728618,-6.2917104,-20.19402,-0.814042,-7.526046,-9.464102,-0.0031685845,-0.0029590153,0.00019298476,-0.0030187934,-0.00025191848,0.0011886458,0.00035185565,0.0024310295,0.002036003,0.0034530838,0.0029285275,0.0022700282,0.0012417871
1,-403.44876,175.76578,-42.028652,-1.0250342,-11.625436,-7.0890665,-23.218666,-14.850578,-3.9357216,-20.135876,-4.011385,-6.042132,-10.010744,-0.004475294,-0.001177992,0.0038363556,0.00056741625,0.0010810547,0.0011172454,-0.0028293878,-0.00065369473,0.0014518398,0.0037839925,0.0041651884,0.0023717456,0.00045268377
2,-409.86185,174.45647,-46.06875,-6.041802,-12.453536,-8.259592,-23.748062,-13.878106,-4.158163,-21.03197,-3.2120762,-4.162135,-8.940866,-0.002266791,-0.0016652121,-0.0024320735,-0.0018713035,-0.0015576216,-0.0027004997,0.0022280344,0.0020900702,-0.0011138214,-5.695391e-05,-0.0003854393,0.0011614987,0.0020108128
3,-416.5353,179.69928,-53.59841,4.174661,-18.032694,-6.268158,-26.23488,-7.6389503,-4.490555,-20.39203,1.5555857,-5.842172,-7.8915863,-0.0025631492,-0.003127045,0.0006987514,-0.0017253208,0.0011885198,-0.0016631265,0.0007231095,-0.0004481346,0.00011042647,0.0012292287,0.0002850144,0.0026740015,0.0010989918
4,-410.861,172.38747,-44.33967,-5.401168,-11.4672,-8.119421,-24.23277,-14.393635,-4.671265,-20.556454,-1.9923879,-4.228919,-9.5579605,-0.005709643,-0.002225549,0.0035875442,0.0006390017,-0.0011930463,0.0008435301,0.0017082902,0.0025062235,0.00061456766,-0.0017286817,0.0014878528,0.0016478994,-0.00019386005
5,-423.02338,178.32115,-53.217815,6.06622,-21.05073,-2.4821746,-27.02062,-11.125528,-6.0654817,-20.783083,-1.020765,-7.6089907,-7.8513274,-0.0033744774,-0.0061150575,-0.0010246008,0.0008566588,-0.00013995833,-0.0013242748,-0.0022388191,-0.003681745,-0.001931337,-3.516547e-05,0.00067692786,-0.00027344117,-0.0033394403
6,-404.14304,177.16887,-48.195667,-3.9393034,-10.589955,-4.9842815,-26.20148,-13.811246,-3.5688717,-22.0992,-2.687191,-3.1821263,-8.72657,-0.0061927894,-0.007360753,-0.0023210137,-0.0006255323,-0.0009196359,0.0021877042,0.002307732,-6.626669e-05,0.00042790695,0.0020190305,0.0015669417,0.002692752,0.0017317052
7,-412.25662,178.53679,-50.123123,-0.8305232,-14.416029,-5.1660028,-26.321854,-13.366864,-4.0739756,-22.057434,-2.405055,-5.1223893,-8.77115,-0.014647927,-0.0071901614,0.008006325,0.005848156,0.0054385546,0.0057525127,0.00505704,-0.0017231504,0.0002919106,0.0045762053,0.00018048275,-0.002937926,-0.0040385937
8,-419.6135,185.77171,-51.346973,6.9709296,-11.425643,-3.7080207,-24.750341,-9.396993,-1.8243722,-16.61353,1.9051254,-1.9183724,-5.2001176,-0.0018007945,-0.00082357007,-0.0005055405,0.00017386655,0.0019426121,0.00066135015,-0.001615143,-0.0012900063,0.002557461,0.0013947178,0.00048600158,0.00082954206,0.00079859357
9,-402.96735,177.0601,-49.363262,-2.4698675,-11.528977,-8.090935,-24.931198,-12.098263,-2.804062,-18.976887,-1.1813654,-4.132546,-8.402431,-0.0032282448,-0.00025853212,0.0012606741,-0.00096807483,-0.00038142808,-0.00083540374,-2.6451617e-05,-5.6072582e-05,0.00029130105,0.0014198879,0.00028698615,0.0005911468,0.00016030064
10,-413.9557,186.36273,-50.400646,6.423868,-10.374121,-5.3814125,-26.056692,-10.126117,-1.572706,-17.0623,1.0831618,-3.6535518,-5.6567845,-0.0024238077,-0.0032608707,0.0031191986,-0.0011739292,0.0015585021,0.0025096214,0.0006164687,0.0017929508,0.0026631418,0.00016865322,-0.0006544147,-0.00081444235,-0.0039117737
11,-405.74084,165.71675,-43.468502,-2.5346708,-13.547975,-11.130189,-22.184742,-10.805236,-5.2207394,-20.24682,-0.440178,-5.5359097,-9.279646,-0.013309162,-0.004331291,0.006469625,0.00043485643,0.0013129167,0.0020114763,0.0009012448,0.0016943103,0.00052603503,0.001830687,0.0020937133,-0.0014283884,-0.0036423998
12,-399.84952,170.71248,-38.525383,-9.729287,-5.771266,-9.960386,-24.554184,-15.620042,-4.1527004,-20.522558,-5.136576,-2.2326553,-10.39065,-0.00144881,-0.001503548,0.00144009,0.0015138439,0.00039304563,0.0019528785,0.00015534021,-0.0020508226,-0.002142617,-0.0007889715,0.00078522135,0.001557319,0.0016373703
13,-416.32404,183.82576,-48.009136,1.8216343,-14.404363,-1.2229302,-26.921312,-13.433852,-3.671883,-20.534767,-3.1650715,-4.9473877,-7.7467422,-0.018631982,-0.006350191,0.002674856,-0.0017081053,0.0035954702,-0.0025591028,-0.0016842593,-0.00021119058,-0.0014337484,-0.001496998,0.0011627484,0.002648562,0.0018957669
14,-417.31094,172.24846,-49.30256,0.33843136,-16.7997,-7.330109,-24.25437,-11.080147,-5.4565616,-20.908976,0.114602625,-6.796944,-8.955534,-0.005331954,-0.0040099206,0.00076392764,-0.0006768711,-0.0006230282,-0.0011326245,-0.00068413984,0.0009289201,0.00022554096,0.001722819,0.001165654,-0.00015826873,-0.00022464848
15,-422.92783,190.47144,-57.883797,5.0834417,-18.606909,1.9003015,-29.844698,-11.899352,-4.1277437,-21.195919,-2.596097,-5.0279427,-6.6406856,-0.00021231145,8.048848e-05,0.0002470925,-0.0010033564,-0.0010933081,0.0007050553,0.0021189651,-0.0002550188,0.00018703735,0.0028280523,0.000916228,0.0018105954,0.00024768309
16,-412.30487,180.8368,-48.676777,-0.75772834,-12.061484,-4.0127583,-26.037724,-13.520218,-2.7420857,-19.998446,-2.0023062,-4.3687587,-8.207585,-0.0018547452,0.0020733702,0.0021034668,-0.0021162585,0.0010765153,0.0007070099,-0.001445428,-0.0001042074,0.0005778564,0.0009684567,-0.0015549402,-0.0021594595,0.00079910195
17,-411.12967,174.14017,-42.025486,-8.968827,-11.141612,-8.956658,-23.60766,-14.53708,-3.4829724,-19.865705,-3.1206849,-2.8177447,-9.397209,-0.01219866,-0.0058687315,0.0051128096,-0.0009798923,3.1681095e-05,0.0028602646,0.005643578,0.0050839535,0.0007254615,0.0015788509,-0.00045899276,0.0019517397,-0.0010968068
18,-424.30658,176.22643,-49.02493,1.7250503,-19.246414,-5.1855817,-23.767918,-11.662588,-5.464844,-20.288208,-0.9431204,-6.5719585,-8.024125,-0.0019818323,-0.0038145361,-0.0031369892,-0.002860127,-0.00024428507,0.00091304205,-0.0013892569,-0.0015334344,-0.0017969226,0.0012292493,0.0020539616,0.0009905492,0.00017925347
19,-421.02866,182.2739,-52.198563,7.003086,-18.129175,0.023384662,-25.38251,-6.709627,-4.263069,-16.491077,1.1160072,-3.622303,-6.1756496,-0.00038624887,0.0005248043,0.00051165564,-0.00074677437,0.00014268479,-0.00025748002,0.00051856623,-0.0005256949,-0.00026239245,0.00036458124,-0.00023360712,0.000112039466,-0.00016042849
20,-408.89862,174.86314,-39.324234,-2.4146988,-4.1309214,-7.7380714,-20.080914,-10.66183,-1.3479003,-13.790717,1.0730469,-0.089759745,-6.2514668,-0.0009982947,0.0005896522,-0.00088004756,-0.00024126547,0.00010262868,-0.0036859547,-0.0027057542,-0.0016120222,0.0015485362,0.0005719939,0.00017826162,0.0030631544,0.0017096349
