,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,-414.01816,170.30139,-44.29925,2.8848436,-17.458796,-7.178707,-23.225641,-11.728618,-6.2917104,-20.19402,-0.814042,-7.526046,-9.464102
1,-403.44876,175.76578,-42.028652,-1.0250342,-11.625436,-7.0890665,-23.218666,-14.850578,-3.9357216,-20.135876,-4.011385,-6.042132,-10.010744
2,-409.86185,174.45647,-46.06875,-6.041802,-12.453536,-8.259592,-23.748062,-13.878106,-4.158163,-21.03197,-3.2120762,-4.162135,-8.940866
3,-416.5353,179.69928,-53.59841,4.174661,-18.032694,-6.268158,-26.23488,-7.6389503,-4.490555,-20.39203,1.5555857,-5.842172,-7.8915863
4,-410.861,172.38747,-44.33967,-5.401168,-11.4672,-8.119421,-24.23277,-14.393635,-4.671265,-20.556454,-1.9923879,-4.228919,-9.5579605
5,-423.02338,178.32115,-53.217815,6.06622,-21.05073,-2.4821746,-27.02062,-11.125528,-6.0654817,-20.783083,-1.020765,-7.6089907,-7.8513274
6,-404.14304,177.16887,-48.195667,-3.9393034,-10.589955,-4.9842815,-26.20148,-13.811246,-3.5688717,-22.0992,-2.687191,-3.1821263,-8.72657
7,-412.25662,178.53679,-50.123123,-0.8305232,-14.416029,-5.1660028,-26.321854,-13.366864,-4.0739756,-22.057434,-2.405055,-5.1223893,-8.77115
8,-419.6135,185.77171,-51.346973,6.9709296,-11.425643,-3.7080207,-24.750341,-9.396993,-1.8243722,-16.61353,1.9051254,-1.9183724,-5.2001176
9,-402.96735,177.0601,-49.363262,-2.4698675,-11.528977,-8.090935,-24.931198,-12.098263,-2.804062,-18.976887,-1.1813654,-4.132546,-8.402431
10,-413.9557,186.36273,-50.400646,6.423868,-10.374121,-5.3814125,-26.056692,-10.126117,-1.572706,-17.0623,1.0831618,-3.6535518,-5.6567845
11,-405.74084,165.71675,-43.468502,-2.5346708,-13.547975,-11.130189,-22.184742,-10.805236,-5.2207394,-20.24682,-0.440178,-5.5359097,-9.279646
