,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0,0.5003426,-6.358855,15.783455,0.1140688,-0.012608874,0.0740769,20.959288,-16.315348,-5.105966,-30.570288,32.087795,0.0,0.0,-14.22926,2.418576,19.76673,985.8348,1190.3209,13.786029,2197.676,950.3435,-3.8856611,3197.0095,1328.0104,-3.2028205
1,0.4910486,-1.3456799,11.523015,0.11244669,-0.0037915409,0.04029522,22.138649,-23.506372,0.481836,-13.348579,31.736258,0.0,0.0,-2.7177353,1.0529346,17.627821,378.62695,1368.7538,15.978879,1327.4655,1127.587,8.293253,2355.5908,1070.3016,-4.705126
2,0.46826074,0.77505475,10.453719,0.10879105,-0.0013406454,0.03852306,18.229185,-28.857897,-3.1728115,-15.771655,0.0,0.0,0.0,0.0,0.0,0.0,277.71756,1321.0547,-201.0,1319.4601,1018.0284,-201.0,2347.0005,911.6321,-201.0
3,0.4227976,-4.3956556,10.180069,0.1079726,-0.010783981,0.038926158,18.991415,-16.764244,-0.3935604,-22.881254,38.026676,0.0,2.5790336,0.32940522,5.810082,18.98773,955.93365,1514.7477,-2.314939,1863.8754,1168.1835,-6.2373714,2862.802,817.86127,-7.920913
4,0.59890753,-6.4256806,12.762459,0.12783049,-0.015437583,0.082494296,18.513948,-20.197931,-6.237721,-26.283087,37.4594,0.0,0.0,-0.24808168,6.6956367,14.646072,1390.0226,1175.3832,-6.138294,2714.966,951.71484,1.3064393,3032.5774,2770.131,0.15997775
5,0.56431484,-5.455868,12.253383,0.11997816,-0.008707433,0.063274525,19.202482,-21.81916,-10.479857,-25.573332,36.33775,0.0,2.3684676,-4.818695,13.610409,17.438553,1089.1562,1226.4473,10.164797,2044.7046,2358.1072,-0.35306183,2906.2844,800.4324,-2.641682
6,0.4889771,-1.635664,7.7039566,0.106883705,0.001996375,0.042994265,17.960663,-29.268595,4.892212,-14.943141,0.0,0.0,0.0,0.0,0.0,0.0,396.3306,936.9678,-201.0,1454.2262,863.2531,-201.0,2464.7332,886.4331,-201.0
7,0.5941202,-2.658969,8.904534,0.12280512,-0.004490206,0.06290586,24.246866,-23.676498,-2.0664816,-15.860317,36.742176,0.0,0.0,3.0821981,-10.319177,15.90129,814.94794,1309.5397,5.913608,1872.6986,917.3071,-0.30448833,2958.461,761.5744,-9.036405
8,0.56861305,-4.7126546,12.759663,0.11788207,-0.011344238,0.05921845,20.507004,-18.470238,1.0022658,-18.602392,33.31781,0.0,0.0,-5.541174,0.5147354,16.460976,238.74788,1369.3955,0.0,1293.9062,1032.1548,-5.8413873,2262.1533,761.124,-14.291489
9,0.51330084,-3.3078663,8.422093,0.08616898,-0.0058963243,0.054654405,16.838,-20.757202,1.4581968,-15.000051,40.34508,0.0,0.0,4.049347,7.8548503,20.46771,635.1192,942.529,0.0,1701.876,894.86615,-10.553184,2616.9846,934.6211,-13.083512
